职业,领域,索引,名称,等级,消耗,失败率
"法师","自然",7,"抵抗环境",5,5,50
"法师","自然",8,"治愈伤口与中毒",5,5,35
"法师","自然",9,"化石为泥",5,5,40
"法师","自然",10,"冰霜之矢",5,5,30
"法师","自然",11,"自然感知",7,6,45
"法师","自然",12,"火之矢",7,6,40
"法师","自然",13,"阳光射线",9,6,30
"法师","自然",14,"纠缠",19,12,55
"法师","自然",15,"自然之门",25,25,90
"法师","自然",16,"草药治疗",40,60,90
"法师","自然",17,"建造阶梯",9,12,40
"法师","自然",18,"石肤术",10,12,75
"法师","自然",19,"真实抵抗",15,20,85
"法师","自然",20,"制造森林",20,22,80
"法师","自然",21,"与石交谈",37,40,90
"法师","自然",22,"石墙术",38,45,75
"法师","自然",23,"防腐保护",40,90,90
"法师","自然",24,"召唤阳光",42,35,90
"法师","自然",25,"地震",20,18,60
"法师","自然",26,"火焰风暴",23,23,80
"法师","自然",27,"暴风雪",25,25,75
"法师","自然",28,"闪电风暴",30,27,75
"法师","自然",29,"漩涡",35,30,85
"法师","自然",30,"寒冰之矢",37,40,75
"法师","自然",31,"重力风暴",39,40,75
"法师","自然",32,"自然之怒",40,75,65
"法师","混沌",1,"魔法飞弹",1,1,20
"法师","混沌",2,"陷阱/门破坏",1,2,22
"法师","混沌",3,"闪光",2,2,25
"法师","混沌",4,"混乱之触",5,5,30
"法师","混沌",5,"法力爆发",9,6,50
"法师","混沌",6,"火之矢",13,9,45
"法师","混沌",7,"力场之拳",14,9,45
"法师","混沌",8,"传送自身",15,9,35
"法师","混沌",9,"奇迹",17,10,25
"法师","混沌",10,"混沌之矢",19,12,45
"法师","混沌",11,"音爆",21,13,45
"法师","混沌",12,"毁灭之矢",23,15,50
"法师","混沌",13,"火球",25,16,50
"法师","混沌",14,"传送他人",25,18,60
"法师","混沌",15,"毁灭之语",30,20,80
"法师","混沌",16,"唤起洛格鲁斯",33,40,85
"法师","混沌",17,"变形他人",11,7,45
"法师","混沌",18,"连锁闪电",15,15,80
"法师","混沌",19,"奥术绑定",16,14,80
"法师","混沌",20,"解离",25,25,85
"法师","混沌",21,"改变现实",30,25,85
"法师","混沌",22,"魔法火箭",35,41,80
"法师","混沌",23,"混沌烙印",45,90,80
"法师","混沌",24,"召唤恶魔",47,100,90
"法师","混沌",25,"重力射线",20,20,66
"法师","混沌",26,"陨石雨",35,32,85
"法师","混沌",27,"烈焰打击",37,34,75
"法师","混沌",28,"召唤混沌",39,42,85
"法师","混沌",29,"变形自身",42,50,85
"法师","混沌",30,"法力风暴",45,58,85
"法师","混沌",31,"喷吐洛格鲁斯",47,75,80
"法师","混沌",32,"呼唤虚空",49,100,85
"法师","死亡",1,"探测非生命体",1,1,25
"法师","死亡",2,"恶咒",2,2,25
"法师","死亡",3,"探测邪恶",2,2,25
"法师","死亡",4,"臭气云",3,3,27
"法师","死亡",5,"黑死眠",5,5,30
"法师","死亡",6,"死灵抗性",7,10,75
"法师","死亡",7,"惊骇",9,9,30
"法师","死亡",8,"奴役不死生物",10,10,30
"法师","死亡",9,"熵之法球",12,12,40
"法师","死亡",10,"地狱之矢",13,12,30
"法师","死亡",11,"死云术",18,15,50
"法师","死亡",12,"单体灭绝",24,21,60
"法师","死亡",13,"毒素烙印",30,75,80
"法师","死亡",14,"吸血汲取",32,30,60
"法师","死亡",15,"操纵死尸",36,35,80
"法师","死亡",16,"灭绝",39,30,95
"法师","死亡",17,"狂暴",10,20,80
"法师","死亡",18,"唤起幽魂",10,15,80
"法师","死亡",19,"暗之矢",11,11,30
"法师","死亡",20,"战斗狂热",30,25,75
"法师","死亡",21,"吸血烙印",34,90,70
"法师","死亡",22,"真实吸血",36,35,60
"法师","死亡",23,"地狱冲击波",38,35,70
"法师","死亡",24,"黑暗风暴",40,40,70
"法师","死亡",25,"死亡射线",20,20,75
"法师","死亡",26,"复活死者",25,66,95
"法师","死亡",27,"秘术",30,40,95
"法师","死亡",28,"变形吸血鬼",35,40,80
"法师","死亡",29,"恢复生命",42,50,75
"法师","死亡",30,"群体灭绝",43,75,80
"法师","死亡",31,"地狱风暴",45,58,85
"法师","死亡",32,"幽灵形态",47,100,90
"法师","王牌",1,"相位门",1,1,25
"法师","王牌",2,"王牌蜘蛛",3,3,25
"法师","王牌",3,"洗牌",5,5,37
"法师","王牌",4,"重置召回",6,6,40
"法师","王牌",5,"传送",7,7,20
"法师","王牌",6,"王牌探知",11,12,30
"法师","王牌",7,"传送离开",14,15,30
"法师","王牌",8,"王牌动物",18,20,30
"法师","王牌",9,"王牌触及",20,20,40
"法师","王牌",10,"王牌神风特攻",23,20,35
"法师","王牌",11,"幻影仆从",25,24,30
"法师","王牌",12,"加速怪物",30,28,40
"法师","王牌",13,"传送楼层",33,30,35
"法师","王牌",14,"任意门",35,33,45
"法师","王牌",15,"召回之语",40,35,40
"法师","王牌",16,"驱逐",42,40,35
"法师","王牌",17,"交换位置",22,35,70
"法师","王牌",18,"王牌不死生物",24,24,35
"法师","王牌",19,"王牌爬行动物",26,26,35
"法师","王牌",20,"王牌怪物",30,25,35
"法师","王牌",21,"王牌猎犬",30,30,35
"法师","王牌",22,"王牌烙印",35,70,40
"法师","王牌",23,"活体王牌",40,100,45
"法师","王牌",24,"王牌机械恶魔",45,100,45
"法师","王牌",25,"王牌占卜",30,30,30
"法师","王牌",26,"王牌学识",35,50,45
"法师","王牌",27,"治疗怪物",36,55,40
"法师","王牌",28,"王牌龙",39,80,40
"法师","王牌",29,"王牌陨石",41,45,70
"法师","王牌",30,"王牌恶魔",47,100,40
"法师","王牌",31,"王牌高阶不死生物",48,100,40
"法师","王牌",32,"王牌上古龙",49,100,40
"法师","奥秘",1,"发射法术",1,1,20
"法师","奥秘",2,"巫师之锁",1,1,33
"法师","奥秘",3,"探测隐形",1,1,33
"法师","奥秘",4,"探测怪物",2,1,33
"法师","奥秘",5,"闪烁",2,2,33
"法师","奥秘",6,"区域照明",4,4,40
"法师","奥秘",7,"陷阱与门破坏",5,5,33
"法师","奥秘",8,"治疗轻伤",6,5,44
"法师","奥秘",9,"探测门与陷阱",7,6,40
"法师","奥秘",10,"燃素",8,8,60
"法师","奥秘",11,"探测财宝",9,8,50
"法师","奥秘",12,"探测魔法物品",9,9,50
"法师","奥秘",13,"探测物品",9,9,50
"法师","奥秘",14,"解毒",11,10,50
"法师","奥秘",15,"抵抗寒冷",12,12,50
"法师","奥秘",16,"抵抗火焰",13,12,50
"法师","奥秘",17,"抵抗闪电",14,12,50
"法师","奥秘",18,"抵抗酸液",15,12,50
"法师","奥秘",19,"治疗中伤",16,14,33
"法师","奥秘",20,"传送",18,15,50
"法师","奥秘",21,"鉴定",20,20,60
"法师","奥秘",22,"化石为泥",22,16,60
"法师","奥秘",23,"光之射线",25,18,60
"法师","奥秘",24,"充饥",28,20,70
"法师","奥秘",25,"识破隐形",28,20,60
"法师","奥秘",26,"抵抗毒素",31,25,70
"法师","奥秘",27,"传送楼层",35,35,80
"法师","奥秘",28,"传送离开",40,30,70
"法师","奥秘",29,"充能",41,30,66
"法师","奥秘",30,"探测",42,30,80
"法师","奥秘",31,"召回之语",45,50,70
"法师","奥秘",32,"透视",49,100,80
"法师","工匠",1,"次级附魔",1,1,20
"法师","工匠",2,"再生",2,2,20
"法师","工匠",3,"充饥",3,3,30
"法师","工匠",4,"抵抗寒冷",5,5,35
"法师","工匠",5,"抵抗火焰",6,5,35
"法师","工匠",6,"英雄气概",8,6,45
"法师","工匠",7,"抵抗闪电",9,5,35
"法师","工匠",8,"抵抗酸液",10,5,35
"法师","工匠",9,"识破隐形",12,12,45
"法师","工匠",10,"移除诅咒",15,14,40
"法师","工匠",11,"抵抗毒素",17,15,60
"法师","工匠",12,"狂暴",20,17,55
"法师","工匠",13,"自我知识",23,18,85
"法师","工匠",14,"鉴定",26,22,50
"法师","工匠",15,"治愈",29,30,60
"法师","工匠",16,"元素烙印",38,65,95
"法师","工匠",17,"心灵感应",12,12,45
"法师","工匠",18,"石肤术",14,10,75
"法师","工匠",19,"抵抗",20,20,85
"法师","工匠",20,"自我加速",24,12,60
"法师","工匠",21,"旋风斩",30,30,60
"法师","工匠",22,"打磨盾牌",34,50,70
"法师","工匠",23,"武器精通",41,60,70
"法师","工匠",24,"魔法护甲",45,55,70
"法师","工匠",25,"移除所有诅咒",14,14,65
"法师","工匠",26,"纯化",30,55,80
"法师","工匠",27,"真实知识",36,45,90
"法师","工匠",28,"附魔",38,80,95
"法师","工匠",29,"工艺",38,100,95
"法师","工匠",30,"活体王牌",43,100,70
"法师","工匠",31,"免疫",47,70,80
"法师","工匠",32,"法力烙印",50,70,80
"法师","恶魔",1,"魔法飞弹",1,1,20
"法师","恶魔",2,"探测非生命体",2,1,22
"法师","恶魔",3,"邪恶祝福",3,2,25
"法师","恶魔",4,"抵抗火焰",4,5,30
"法师","恶魔",5,"惊骇",7,5,45
"法师","恶魔",6,"地狱之矢",10,7,40
"法师","恶魔",7,"召唤原魔",11,9,35
"法师","恶魔",8,"地狱之焰",13,13,40
"法师","恶魔",9,"支配恶魔",15,14,45
"法师","恶魔",10,"视界",17,15,60
"法师","恶魔",11,"抵抗地狱",20,18,50
"法师","恶魔",12,"等离子之矢",23,15,50
"法师","恶魔",13,"火球",25,16,50
"法师","恶魔",14,"火焰烙印",30,75,80
"法师","恶魔",15,"地狱球",32,28,70
"法师","恶魔",16,"召唤恶魔",36,70,85
"法师","恶魔",17,"恶魔之眼",12,12,45
"法师","恶魔",18,"恶魔斗篷",15,20,60
"法师","恶魔",19,"熔岩之流",25,22,65
"法师","恶魔",20,"等离子球",34,30,80
"法师","恶魔",21,"变形恶魔",35,40,80
"法师","恶魔",22,"地狱冲击波",36,35,85
"法师","恶魔",23,"魅魔之吻",37,40,80
"法师","恶魔",24,"末日之手",44,80,80
"法师","恶魔",25,"提振士气",9,9,50
"法师","恶魔",26,"不朽之躯",26,25,85
"法师","恶魔",27,"疯狂法阵",36,35,80
"法师","恶魔",28,"引爆宠物",41,50,85
"法师","恶魔",29,"召唤高阶恶魔",43,100,90
"法师","恶魔",30,"地狱之火",45,95,90
"法师","恶魔",31,"送入地狱",47,85,80
"法师","恶魔",32,"变形恶魔领主",49,80,85
"法师","圣战",1,"惩戒",1,1,20
"法师","圣战",2,"探测邪恶",2,1,15
"法师","圣战",3,"移除恐惧",4,3,25
"法师","圣战",4,"恐吓怪物",6,4,30
"法师","圣战",5,"避难所",7,5,34
"法师","圣战",6,"传送门",9,7,30
"法师","圣战",7,"星尘",10,10,45
"法师","圣战",8,"净化",15,11,55
"法师","圣战",9,"驱散邪恶",17,15,55
"法师","圣战",10,"神圣法球",17,14,50
"法师","圣战",11,"驱魔",21,19,60
"法师","圣战",12,"移除诅咒",23,20,70
"法师","圣战",13,"感知隐形",26,24,50
"法师","圣战",14,"防护邪恶",29,23,60
"法师","圣战",15,"制裁之雷",34,32,85
"法师","圣战",16,"圣言",40,35,85
"法师","圣战",17,"开启通路",6,5,33
"法师","圣战",18,"拘捕",18,14,50
"法师","圣战",19,"天使斗篷",21,16,60
"法师","圣战",20,"驱散不死生物与恶魔",25,20,65
"法师","圣战",21,"驱散邪恶",32,27,70
"法师","圣战",22,"神圣之刃",34,75,95
"法师","圣战",23,"星爆",35,45,80
"法师","圣战",24,"召唤天使",44,100,90
"法师","圣战",25,"英雄气概",9,9,50
"法师","圣战",26,"驱除诅咒",30,35,80
"法师","圣战",27,"驱逐邪恶",32,32,75
"法师","圣战",28,"末日审判",36,22,80
"法师","圣战",29,"以眼还眼",40,40,80
"法师","圣战",30,"神之愤怒",43,65,90
"法师","圣战",31,"神圣干预",46,90,90
"法师","圣战",32,"圣战",48,100,85
"法师","毁灭",1,"闪电之矢",1,3,30
"法师","毁灭",2,"冰霜之矢",3,3,30
"法师","毁灭",3,"火之矢",5,4,40
"法师","毁灭",4,"酸液之矢",7,5,40
"法师","毁灭",5,"闪电球",9,7,40
"法师","毁灭",6,"冰霜球",11,8,45
"法师","毁灭",7,"火球",13,12,45
"法师","毁灭",8,"酸液球",15,13,50
"法师","毁灭",9,"碎片之矢",17,13,50
"法师","毁灭",10,"重力之矢",20,17,60
"法师","毁灭",11,"等离子之矢",22,19,60
"法师","毁灭",12,"陨石",23,25,60
"法师","毁灭",13,"雷鸣爆",25,25,60
"法师","毁灭",14,"狂风爆",30,27,60
"法师","毁灭",15,"地狱风暴",32,30,60
"法师","毁灭",16,"火箭",34,40,60
"法师","毁灭",17,"寒冰之矢",20,20,60
"法师","毁灭",18,"水球",22,25,60
"法师","毁灭",19,"喷吐闪电",25,25,60
"法师","毁灭",20,"喷吐冰霜",26,26,60
"法师","毁灭",21,"喷吐火焰",27,27,70
"法师","毁灭",22,"喷吐酸液",30,28,70
"法师","毁灭",23,"喷吐等离子",32,33,70
"法师","毁灭",24,"喷吐重力",40,35,70
"法师","毁灭",25,"法力之矢",22,15,50
"法师","毁灭",26,"等离子球",25,22,60
"法师","毁灭",27,"法力球",35,27,70
"法师","毁灭",28,"喷吐声波",39,30,70
"法师","毁灭",29,"喷吐迟缓",42,30,70
"法师","毁灭",30,"喷吐解离",43,50,80
"法师","毁灭",31,"喷吐法力",45,50,85
"法师","毁灭",32,"喷吐碎片",47,55,85
"牧师","生命",1,"治疗轻伤",1,1,10
"牧师","生命",2,"祝福",1,2,15
"牧师","生命",3,"再生",1,2,20
"牧师","生命",4,"召唤光芒",3,2,25
"牧师","生命",5,"探测门与陷阱",3,3,27
"牧师","生命",6,"治疗中伤",4,4,28
"牧师","生命",7,"解毒",5,4,32
"牧师","生命",8,"充饥",7,5,38
"牧师","生命",9,"移除诅咒",7,6,38
"牧师","生命",10,"禁食",9,6,38
"牧师","生命",11,"治疗重伤",9,7,40
"牧师","生命",12,"抵抗冷热",10,8,38
"牧师","生命",13,"感知周围",10,8,40
"牧师","生命",14,"亡灵退散",11,8,42
"牧师","生命",15,"治疗",20,16,60
"牧师","生命",16,"守护结界",33,55,90
"牧师","生命",17,"驱除诅咒",15,14,50
"牧师","生命",18,"察觉",16,14,80
"牧师","生命",19,"驱散不死生物",17,14,55
"牧师","生命",20,"维持属性",24,20,55
"牧师","生命",21,"治愈变异",25,20,70
"牧师","生命",22,"召回之语",25,25,80
"牧师","生命",23,"超越",39,32,95
"牧师","生命",24,"真实结界",44,44,80
"牧师","生命",25,"绝育",5,9,50
"牧师","生命",26,"探测",15,14,50
"牧师","生命",27,"湮灭不死生物",30,30,80
"牧师","生命",28,"透视",35,70,90
"牧师","生命",29,"完全恢复",40,50,80
"牧师","生命",30,"真实治疗",40,40,80
"牧师","生命",31,"神圣视界",42,90,85
"牧师","生命",32,"终极抵抗",45,90,85
"牧师","咒术",1,"探测怪物",2,1,18
"牧师","咒术",2,"相位门",3,2,19
"牧师","咒术",3,"探测门与陷阱",4,3,20
"牧师","咒术",4,"区域照明",5,4,25
"牧师","咒术",5,"混乱单一怪物",6,5,25
"牧师","咒术",6,"传送",7,6,30
"牧师","咒术",7,"催眠单一怪物",9,7,25
"牧师","咒术",8,"充能",11,10,70
"牧师","咒术",9,"魔法探知",13,11,70
"牧师","咒术",10,"批量鉴定",14,12,70
"牧师","咒术",11,"减速单一怪物",15,13,70
"牧师","咒术",12,"群体静滞",16,14,45
"牧师","咒术",13,"传送离开",22,15,55
"牧师","咒术",14,"自我加速",27,17,60
"牧师","咒术",15,"真实探测",30,22,65
"牧师","咒术",16,"真实鉴定",36,33,70
"牧师","咒术",17,"物品栏保护",7,7,20
"牧师","咒术",18,"制造阶梯",14,14,75
"牧师","咒术",19,"感知心灵",18,18,55
"牧师","咒术",20,"传送到城镇",20,33,65
"牧师","咒术",21,"自我知识",20,20,80
"牧师","咒术",22,"传送楼层",22,22,55
"牧师","咒术",23,"召回之语",27,27,70
"牧师","咒术",24,"任意门",42,45,75
"牧师","咒术",25,"探知",13,13,35
"牧师","咒术",26,"制造门",21,25,75
"牧师","咒术",27,"隔空取物",24,24,70
"牧师","咒术",28,"透视",33,40,75
"牧师","咒术",29,"装置精通",43,85,90
"牧师","咒术",30,"炼金术",45,50,85
"牧师","咒术",31,"放逐",46,45,55
"牧师","咒术",32,"无敌结界",48,70,80
"牧师","自然",1,"探测生物",2,1,20
"牧师","自然",2,"闪电",5,3,20
"牧师","自然",3,"探测门与陷阱",5,4,20
"牧师","自然",4,"制造食物",6,5,30
"牧师","自然",5,"昼光",6,5,45
"牧师","自然",6,"御风而行",6,6,45
"牧师","自然",7,"抵抗环境",7,7,45
"牧师","自然",8,"治愈伤口与中毒",7,7,30
"牧师","自然",9,"化石为泥",7,7,35
"牧师","自然",10,"冰霜之矢",8,7,25
"牧师","自然",11,"自然感知",9,10,35
"牧师","自然",12,"火之矢",10,10,35
"牧师","自然",13,"阳光射线",11,11,25
"牧师","自然",14,"纠缠",20,20,60
"牧师","自然",15,"自然之门",30,30,50
"牧师","自然",16,"草药治疗",42,60,85
"牧师","自然",17,"建造阶梯",11,12,35
"牧师","自然",18,"石肤术",12,13,70
"牧师","自然",19,"真实抵抗",18,20,80
"牧师","自然",20,"制造森林",23,25,75
"牧师","自然",21,"与石交谈",39,40,85
"牧师","自然",22,"石墙术",40,50,80
"牧师","自然",23,"防腐保护",42,90,85
"牧师","自然",24,"召唤阳光",44,37,85
"牧师","自然",25,"地震",22,22,55
"牧师","自然",26,"火焰风暴",25,25,55
"牧师","自然",27,"暴风雪",27,27,70
"牧师","自然",28,"闪电风暴",32,30,70
"牧师","自然",29,"漩涡",37,32,80
"牧师","自然",30,"寒冰之矢",41,45,75
"牧师","自然",31,"重力风暴",42,45,75
"牧师","自然",32,"自然之怒",44,80,60
"牧师","混沌",1,"魔法飞弹",2,1,17
"牧师","混沌",2,"陷阱/门破坏",3,2,19
"牧师","混沌",3,"闪光",4,3,21
"牧师","混沌",4,"混乱之触",5,4,25
"牧师","混沌",5,"法力爆发",10,6,25
"牧师","混沌",6,"火之矢",11,6,45
"牧师","混沌",7,"力场之拳",16,11,45
"牧师","混沌",8,"传送自身",17,11,30
"牧师","混沌",9,"奇迹",19,15,45
"牧师","混沌",10,"混沌之矢",21,16,45
"牧师","混沌",11,"音爆",23,18,75
"牧师","混沌",12,"毁灭之矢",25,18,45
"牧师","混沌",13,"火球",27,20,60
"牧师","混沌",14,"传送他人",29,22,55
"牧师","混沌",15,"毁灭之语",33,23,75
"牧师","混沌",16,"唤起洛格鲁斯",37,42,80
"牧师","混沌",17,"变形他人",14,11,40
"牧师","混沌",18,"连锁闪电",17,17,65
"牧师","混沌",19,"奥术绑定",20,18,75
"牧师","混沌",20,"解离",27,27,65
"牧师","混沌",21,"改变现实",35,30,80
"牧师","混沌",22,"魔法火箭",40,45,75
"牧师","混沌",23,"混沌烙印",47,90,85
"牧师","混沌",24,"召唤恶魔",49,100,85
"牧师","混沌",25,"重力射线",25,25,61
"牧师","混沌",26,"陨石雨",37,37,80
"牧师","混沌",27,"烈焰打击",39,37,70
"牧师","混沌",28,"召唤混沌",41,45,80
"牧师","混沌",29,"变形自身",45,55,90
"牧师","混沌",30,"法力风暴",47,60,90
"牧师","混沌",31,"喷吐洛格鲁斯",49,95,75
"牧师","混沌",32,"呼唤虚空",50,100,90
"牧师","死亡",1,"探测非生命体",1,1,20
"牧师","死亡",2,"恶咒",1,1,20
"牧师","死亡",3,"探测邪恶",2,1,20
"牧师","死亡",4,"臭气云",2,2,20
"牧师","死亡",5,"黑死眠",3,3,20
"牧师","死亡",6,"死灵抗性",5,9,55
"牧师","死亡",7,"惊骇",7,7,20
"牧师","死亡",8,"奴役不死生物",8,8,20
"牧师","死亡",9,"熵之法球",10,10,30
"牧师","死亡",10,"地狱之矢",11,10,20
"牧师","死亡",11,"死云术",14,12,40
"牧师","死亡",12,"单体灭绝",22,20,75
"牧师","死亡",13,"毒素烙印",26,65,70
"牧师","死亡",14,"吸血汲取",30,25,50
"牧师","死亡",15,"操纵死尸",32,30,70
"牧师","死亡",16,"灭绝",35,30,85
"牧师","死亡",17,"狂暴",8,15,70
"牧师","死亡",18,"唤起幽魂",8,10,70
"牧师","死亡",19,"暗之矢",9,9,20
"牧师","死亡",20,"战斗狂热",25,20,65
"牧师","死亡",21,"吸血烙印",31,80,60
"牧师","死亡",22,"真实吸血",33,30,50
"牧师","死亡",23,"地狱冲击波",34,30,60
"牧师","死亡",24,"黑暗风暴",36,35,60
"牧师","死亡",25,"死亡射线",16,16,65
"牧师","死亡",26,"复活死者",22,60,85
"牧师","死亡",27,"秘术",26,35,85
"牧师","死亡",28,"变形吸血鬼",32,35,75
"牧师","死亡",29,"恢复生命",37,40,65
"牧师","死亡",30,"群体灭绝",38,66,70
"牧师","死亡",31,"地狱风暴",40,53,70
"牧师","死亡",32,"幽灵形态",45,75,80
"牧师","王牌",1,"相位门",1,1,20
"牧师","王牌",2,"王牌蜘蛛",4,4,20
"牧师","王牌",3,"洗牌",6,5,32
"牧师","王牌",4,"重置召回",7,7,35
"牧师","王牌",5,"传送",9,9,15
"牧师","王牌",6,"王牌探知",13,14,25
"牧师","王牌",7,"传送离开",17,17,25
"牧师","王牌",8,"王牌动物",29,22,25
"牧师","王牌",9,"王牌触及",22,22,35
"牧师","王牌",10,"王牌神风特攻",26,22,30
"牧师","王牌",11,"幻影仆从",28,25,25
"牧师","王牌",12,"加速怪物",32,30,35
"牧师","王牌",13,"传送楼层",35,35,30
"牧师","王牌",14,"任意门",38,37,25
"牧师","王牌",15,"召回之语",42,40,35
"牧师","王牌",16,"驱逐",45,45,30
"牧师","王牌",17,"交换位置",24,38,65
"牧师","王牌",18,"王牌不死生物",27,25,30
"牧师","王牌",19,"王牌爬行动物",29,27,30
"牧师","王牌",20,"王牌怪物",32,30,30
"牧师","王牌",21,"王牌猎犬",33,30,30
"牧师","王牌",22,"王牌烙印",38,75,35
"牧师","王牌",23,"活体王牌",41,110,40
"牧师","王牌",24,"王牌机械恶魔",49,125,40
"牧师","王牌",25,"王牌占卜",32,30,25
"牧师","王牌",26,"王牌学识",38,55,40
"牧师","王牌",27,"治疗怪物",40,60,35
"牧师","王牌",28,"王牌龙",43,85,35
"牧师","王牌",29,"王牌陨石",43,50,65
"牧师","王牌",30,"王牌恶魔",48,115,35
"牧师","王牌",31,"王牌高阶不死生物",49,120,35
"牧师","王牌",32,"王牌上古龙",50,125,35
"牧师","奥秘",1,"发射法术",1,1,15
"牧师","奥秘",2,"巫师之锁",1,1,28
"牧师","奥秘",3,"探测隐形",2,1,28
"牧师","奥秘",4,"探测怪物",2,2,28
"牧师","奥秘",5,"闪烁",3,3,28
"牧师","奥秘",6,"区域照明",5,5,35
"牧师","奥秘",7,"陷阱与门破坏",6,6,28
"牧师","奥秘",8,"治疗轻伤",7,6,39
"牧师","奥秘",9,"探测门与陷阱",8,7,35
"牧师","奥秘",10,"燃素",9,8,55
"牧师","奥秘",11,"探测财宝",10,9,45
"牧师","奥秘",12,"探测魔法物品",11,10,45
"牧师","奥秘",13,"探测物品",12,11,45
"牧师","奥秘",14,"解毒",13,12,45
"牧师","奥秘",15,"抵抗寒冷",14,13,45
"牧师","奥秘",16,"抵抗火焰",15,14,45
"牧师","奥秘",17,"抵抗闪电",16,15,45
"牧师","奥秘",18,"抵抗酸液",17,16,45
"牧师","奥秘",19,"治疗中伤",18,17,28
"牧师","奥秘",20,"传送",19,18,45
"牧师","奥秘",21,"鉴定",22,25,55
"牧师","奥秘",22,"化石为泥",24,22,55
"牧师","奥秘",23,"光之射线",27,24,55
"牧师","奥秘",24,"充饥",29,26,65
"牧师","奥秘",25,"识破隐形",33,30,55
"牧师","奥秘",26,"抵抗毒素",37,32,75
"牧师","奥秘",27,"传送楼层",40,36,75
"牧师","奥秘",28,"传送离开",42,38,65
"牧师","奥秘",29,"充能",44,39,61
"牧师","奥秘",30,"探测",46,40,75
"牧师","奥秘",31,"召回之语",47,55,65
"牧师","奥秘",32,"透视",50,120,75
"牧师","工匠",1,"次级附魔",1,1,20
"牧师","工匠",2,"再生",3,3,20
"牧师","工匠",3,"充饥",4,4,30
"牧师","工匠",4,"抵抗寒冷",6,6,35
"牧师","工匠",5,"抵抗火焰",7,6,35
"牧师","工匠",6,"英雄气概",9,7,45
"牧师","工匠",7,"抵抗闪电",10,6,35
"牧师","工匠",8,"抵抗酸液",11,6,35
"牧师","工匠",9,"识破隐形",13,15,45
"牧师","工匠",10,"移除诅咒",15,13,30
"牧师","工匠",11,"抵抗毒素",18,17,60
"牧师","工匠",12,"狂暴",22,20,75
"牧师","工匠",13,"自我知识",23,21,85
"牧师","工匠",14,"鉴定",26,24,50
"牧师","工匠",15,"治愈",29,28,60
"牧师","工匠",16,"元素烙印",42,70,85
