Name,Idx,Lvl,Speed,AC,Attacks,Dam,Body,Str,Int,Wis,Dex,Con,Chr,Life,Disarm,Device,Save,Stealth,Search,Perception,Melee,Bows
"尖叫蘑菇丛",40,2,0,1,0,0,霉菌,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"哭闹的恶心物",41,2,0,0,0,0,恶心物,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"金属绿蜈蚣",42,2,10,4,0,0,蜈蚣3,-4,0,-3,0,-4,-7,68,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"新手战士",43,2,0,0,0,0,标准,4,-2,-2,2,2,1,97,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"新手盗贼",44,2,0,0,0,0,标准,1,1,-1,3,0,1,85,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"新手考古学家",45,3,0,0,0,0,标准,-1,1,2,1,-1,0,90,="45+15",="40+12",="36+10",4,50,42,="56+18",="35+11"
"新手巫师",46,2,0,0,0,0,标准,-4,3,0,1,-2,-2,80,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"黄蘑菇丛",47,2,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"黄色果冻",48,2,10,1,0,0,果冻3,-2,-1,-1,-1,-2,-3,94,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"巨型黑蚁",49,2,0,0,0,0,蚂蚁,2,-4,-4,0,0,-4,63,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"火蜥蜴",50,2,0,0,0,0,皮包骨,-4,0,-3,0,-4,-7,43,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"白鹰身女妖",51,2,0,17,0,0,鸟身女妖,-4,0,0,2,0,-2,43,="30+5",="26+6",="38+9",6,24,17,="36+12",="29+10"
"蓝伊克",52,2,0,0,0,0,标准,-4,0,-3,0,-4,-7,86,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"马戈特农夫的狗“紧咬”",53,2,10,30,0,0,小狗,2,-1,-1,5,4,2,73,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"马戈特农夫的狗“野狼”",54,2,10,30,0,0,小狗,2,-1,-1,5,4,2,73,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"马戈特农夫的狗“毒牙”",55,2,10,30,0,0,小狗,2,-1,-1,5,4,2,73,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"巨型绿蛙",56,2,0,0,0,0,小狗,-4,-3,-3,-3,-4,-8,63,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"小香雪兰",57,2,10,30,0,0,猎犬,1,1,-1,3,0,1,100,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"黏糊蠕虫团",58,2,-10,3,0,0,蠕虫,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"大黄蛇",59,2,-10,0,0,0,蛇,-1,-1,-3,1,-2,-4,46,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"洞穴蜘蛛",60,2,10,16,0,0,蜘蛛,-1,2,-3,4,-2,-3,92,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"乌鸦",61,2,10,0,0,0,鸟,-4,-3,-3,-3,-4,-8,79,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"野猫",62,2,10,0,0,0,皮包骨,1,1,-1,3,0,1,60,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"斯密戈",63,3,20,0,0,0,标准,-1,2,0,6,2,2,92,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"黏糊软泥怪",64,3,10,16,0,0,果冻3,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"吵闹鬼",65,3,20,0,0,0,标准,-7,3,1,1,-4,-6,84,="25+5",="28+6",="40+9",6,17,16,="31+12",="14+10"
"绿色果冻",66,3,10,1,0,0,果冻3,-2,-1,-1,-1,-2,-3,94,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"金属蓝蜈蚣",67,3,10,6,0,0,蜈蚣3,-4,0,-3,0,-4,-7,68,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"渡鸦",68,3,10,0,0,0,鸟,-4,-3,-3,-3,-4,-8,79,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"巨型白虱",69,3,10,5,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"食人鱼",70,3,10,8,0,0,鱼,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"黑娜迦",71,3,0,0,0,0,娜迦,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"斑点蘑菇丛",72,3,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"银色果冻",73,3,10,1,0,0,果冻3,-2,-2,-2,0,0,-4,93,="12+5",="19+6",="27+9",2,11,12,="51+12",="16+10"
"邋遢的霍比特人",74,3,0,0,0,0,标准,-4,0,0,2,0,-2,86,="30+5",="26+6",="38+9",6,24,17,="36+12",="29+10"
"巨型白蚁",75,3,0,0,0,0,蚂蚁,2,-4,-4,0,0,-4,67,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"黄霉菌",76,3,0,10,0,0,霉菌,-4,0,-3,0,-4,-7,43,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"金属红蜈蚣",77,3,10,9,0,0,蜈蚣3,-4,0,-3,0,-4,-7,77,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"黄蠕虫团",78,3,-10,4,0,0,蠕虫,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"透明蠕虫团",79,3,-10,1,0,0,蠕虫,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"辐射眼",80,3,0,0,0,0,眼睛,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"黄色闪光",81,4,10,12,0,0,鬼火,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"洞穴蜥蜴",82,4,0,0,0,0,皮包骨,-4,-3,-3,-3,-4,-8,55,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"新手游侠",83,4,0,0,0,0,标准,2,0,2,1,1,0,90,="30+8",="37+11",="36+10",3,24,26,="56+18",="50+16"
"冰霜果冻",84,4,0,1,0,0,果冻3,-2,-2,-2,0,0,-4,93,="12+5",="19+6",="27+9",2,11,12,="51+12",="16+10"
"爬行铜币",85,4,-10,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"巨型白鼠",86,4,0,0,0,0,皮包骨,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"哥布林",87,5,0,0,0,0,标准,-4,-3,-3,-3,-4,-8,79,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"剑鱼",88,4,10,10,0,0,鱼,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"白蠕虫团",89,4,-10,12,0,0,蠕虫,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"大灰蛇",90,4,-10,0,0,0,蛇,-1,-1,-3,1,-2,-4,51,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"骷髅狗头人",91,5,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"伊渥克人",92,5,0,0,0,0,标准,-4,0,0,2,0,-2,86,="30+5",="26+6",="38+9",6,24,17,="36+12",="29+10"
"新手巫师",93,3,0,0,0,0,标准,-4,3,0,1,-2,-2,80,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"绿娜迦",94,5,0,0,0,0,娜迦,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"巨型水蛭",95,5,10,20,0,0,皮包骨,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"梭鱼",96,10,10,45,0,0,鱼,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"新手圣武士",97,4,0,0,0,0,标准,2,-3,1,0,2,2,93,="20+7",="24+10",="34+11",1,12,12,="68+21",="40+18"
"佐格虫",98,5,0,0,0,0,标准,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"泥泞土堆",99,5,0,16,0,0,果冻3,-4,0,-3,0,-4,-7,86,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"绿色贪吃鬼",100,5,20,0,0,0,标准,-7,3,1,1,-4,-6,84,="25+5",="28+6",="40+9",6,17,16,="31+12",="14+10"
"黏糊果冻",101,5,10,1,0,0,果冻3,-2,-2,-2,0,0,-4,93,="12+5",="19+6",="27+9",2,11,12,="51+12",="16+10"
"大狗头人",102,5,0,0,0,0,标准,5,-3,-2,3,2,-1,106,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"灰色恶心物",103,5,0,0,0,0,恶心物,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"解除附魔之眼",104,5,-10,0,0,0,眼睛,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"红蠕虫团",105,5,-10,12,0,0,蠕虫,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"铜头蛇",106,5,0,0,0,0,蛇,1,1,-1,3,0,1,60,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"死亡之剑",107,14,20,0,0,0,死亡之剑,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"紫蘑菇丛",108,6,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"新手牧师",109,4,0,0,0,0,标准,-1,-3,3,-1,0,2,85,="25+7",="28+11",="40+12",2,16,18,="48+13",="35+11"
"新手战士",110,4,0,0,0,0,标准,4,-2,-2,2,2,1,97,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"尼伯龙根小矮人",111,6,0,0,0,0,标准,1,2,-1,4,1,-1,101,="48+15",="40+12",="42+10",6,37,34,="70+21",="60+14"
"掐死人的断手",112,6,20,0,0,0,游荡之手,4,-1,-2,4,2,3,103,="43+15",="30+12",="38+10",4,33,31,="72+21",="66+14"
"褐霉菌",113,6,0,12,0,0,霉菌,-2,-1,-1,-1,-2,-3,65,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"巨型褐蝠",114,6,20,15,0,0,蝙蝠,2,-1,-1,2,1,0,60,="25+12",="24+10",="28+10",5,32,28,="35+12",="72+28"
"鼠形怪物",115,6,10,20,0,0,皮包骨,-1,2,-3,4,-2,-3,92,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"新手弓箭手",116,6,10,0,0,0,标准,2,-1,-1,2,1,0,93,="38+12",="24+10",="35+10",4,24,26,="56+18",="82+36"
"爬行银币",117,6,-10,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"史纳加",118,6,0,0,0,0,标准,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"响尾蛇",119,6,0,0,0,0,蛇,1,1,-1,3,0,1,60,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"巨型鼻涕虫",120,6,-10,25,0,0,皮包骨,-2,-1,-1,-1,-2,-3,94,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"巨型粉红蛙",121,7,0,0,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"黑暗精灵",122,7,0,0,0,0,标准,-5,6,2,3,-4,1,92,="35+7",="47+15",="50+11",6,24,32,="29+6",="26+7"
"僵尸狗头人",123,7,0,0,0,0,标准,0,-7,-7,0,2,-6,101,="10+5",="13+6",="33+9",0,11,7,="61+12",="19+10"
"地穴潜行者",124,7,0,0,0,0,标准,-4,4,-2,1,-1,-1,95,="25+7",="40+15",="41+11",2,15,28,="44+6",="20+7"
"腐烂尸体",125,7,0,0,0,0,标准,0,-7,-7,0,2,-6,101,="10+5",="13+6",="33+9",0,11,7,="61+12",="19+10"
"洞穴兽人",126,7,0,0,0,0,标准,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"木蜘蛛",127,7,10,16,0,0,蜘蛛,-1,2,-3,4,-2,-3,92,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"马奈魔",128,7,0,0,0,0,标准,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"充血的眼睛",129,7,0,0,0,0,眼睛,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"粉红娜迦",130,7,0,0,0,0,娜迦,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"粉红果冻",131,7,0,1,0,0,果冻3,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"腐蚀恶心物",132,7,0,0,0,0,恶心物,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"迷失的灵魂",133,7,0,0,0,0,标准,-4,5,1,5,-2,-2,90,="55+15",="47+12",="48+10",10,37,38,="45+21",="55+14"
"夜蜥蜴",134,7,0,0,0,0,皮包骨,-4,0,-3,0,-4,-7,60,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"狗头人领主穆加什",135,7,0,0,0,0,标准,6,-3,-2,4,3,-1,117,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"骷髅兽人",136,8,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"萨鲁曼的爪牙，巧言",137,8,0,0,0,0,标准,1,1,-1,3,0,1,100,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"绿林好汉，罗宾汉",138,8,10,0,0,0,标准,2,4,-2,6,1,2,99,="49+15",="46+12",="48+10",9,35,38,="70+21",="75+14"
"纳垢灵",139,8,0,0,0,0,标准,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"史纳加队长拉格杜夫",140,8,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"褐伊克",141,8,0,0,0,0,标准,-4,0,-3,0,-4,-7,86,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"新手游侠",142,6,0,0,0,0,标准,2,0,2,1,1,0,90,="30+8",="37+11",="36+10",3,24,26,="56+18",="50+16"
"巨型火蜥蜴",143,8,0,0,0,0,皮包骨,-2,-1,-1,-1,-2,-3,65,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"太空怪兽",144,8,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"食肉飞猴",145,8,0,20,0,0,标准,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"绿霉菌",146,8,0,14,0,0,霉菌,-2,-1,-1,-1,-2,-3,84,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"新手圣武士",147,6,0,0,0,0,标准,2,-3,1,0,2,2,93,="20+7",="24+10",="34+11",1,12,12,="68+21",="40+18"
"劣魔",148,8,0,0,0,0,标准,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"山丘兽人",149,8,0,0,0,0,标准,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"强盗",150,8,0,0,0,0,标准,1,1,-1,3,0,1,90,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"朱利安的猎鹰",151,8,10,25,0,0,鸟,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"幻影战士",152,8,0,0,0,0,标准,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"小魔怪",153,8,0,0,0,0,标准,-1,2,-3,4,-2,-3,92,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"雪人",154,12,5,30,0,0,标准,5,-2,-2,-1,3,2,110,="25+12",="25+9",="35+12",0,14,12,="70+30",="16+6"
"充血的恶心物",155,9,0,0,0,0,恶心物,0,0,-3,-1,-2,-4,44,="27+7",="34+10",="32+10",4,18,23,="46+18",="45+15"
"巨型灰鼠",156,9,0,0,0,0,皮包骨,2,-4,-4,0,0,-4,77,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"黑鹰身女妖",157,9,10,22,0,0,鸟身女妖,-4,0,0,2,0,-2,43,="30+5",="26+6",="38+9",6,24,17,="36+12",="29+10"
"斯卡文鼠人",158,9,0,25,0,0,皮包骨,-2,-1,-1,-1,-2,-3,94,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"受伤的熊",159,9,0,35,0,0,熊,3,-4,-4,-3,1,-3,93,="22+12",="23+9",="33+12",2,14,9,="60+30",="11+6"
"僧帽水母",160,9,0,30,0,0,果冻3,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"岩石鼹鼠",161,9,0,30,0,0,皮包骨,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"兽人萨满",162,9,0,0,0,0,标准,-1,-3,3,-1,0,2,100,="25+7",="28+11",="40+12",2,16,18,="48+13",="35+11"
"蓝龙幼龙",163,9,0,30,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"白龙幼龙",164,9,0,30,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"绿龙幼龙",165,9,0,30,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"黑龙幼龙",166,9,0,30,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"红龙幼龙",167,9,0,30,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"巨型粉红蚁",168,9,0,0,0,0,蚂蚁,2,-4,-4,0,0,-4,72,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"东方人布罗达",169,9,0,0,0,0,标准,7,-2,-3,1,5,1,121,="22+12",="15+7",="28+10",-1,13,7,="90+30",="50+30"
"血牙狼",170,9,10,30,0,0,小狗,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"眼镜王蛇",171,9,0,0,0,0,蛇,1,1,-1,3,0,1,60,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"老鹰",172,9,10,25,0,0,鸟,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"战熊",173,9,0,35,0,0,熊,3,-1,-4,0,1,-2,101,="27+12",="28+9",="41+12",3,19,17,="65+30",="13+6"
"杀人蜂",174,9,10,34,0,0,皮包骨,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"巨型蜘蛛",175,10,0,16,0,0,蜘蛛,1,1,-1,3,0,1,100,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"巨型白蜱",176,10,-10,40,0,0,蜘蛛,1,1,-1,3,0,1,100,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"波尔申",177,10,0,0,0,0,标准,6,-4,-3,1,4,2,117,="20+12",="17+7",="30+10",0,13,7,="82+30",="58+30"
"黑暗精灵法师",178,10,10,0,0,0,标准,-5,6,2,3,-4,1,92,="35+7",="47+15",="50+11",6,24,32,="29+6",="26+7"
"神风特攻伊克",179,10,3,0,0,0,标准,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"博尔多之子欧法克斯",180,10,10,0,0,0,标准,-6,4,-2,2,-4,-6,87,="32+7",="43+15",="44+11",6,21,35,="29+6",="17+7"
"格拉基的仆从",181,10,0,0,0,0,标准,1,-9,-3,0,4,-1,108,="20+7",="23+11",="45+12",1,15,13,="63+13",="35+11"
"黑暗精灵战士",182,10,0,0,0,0,标准,1,5,1,3,-2,4,101,="35+7",="43+10",="46+10",5,26,28,="51+18",="56+15"
"沙漠栖息者",183,10,0,0,0,0,标准,6,-4,-3,1,4,2,117,="20+12",="17+7",="30+10",0,13,7,="82+30",="58+30"
