id	count	first_file	first_line	kind	field	source	zh_cn
EDITU_00059	5	lib/edit/t_ana.txt	183	building	B:11:owner_race	High-Elf	
EDITU_00060	5	lib/edit/t_lite.old	262	building	B:3:owner_race	Human?	
EDITU_00061	5	lib/edit/t_ana.txt	138	building	B:4:name	Inn	
EDITU_00062	5	lib/edit/r_info.txt	476	description	D	It is about four feet long and carnivorous.	
EDITU_00063	5	lib/edit/t_lite.txt	367	building	B:12:name	Paladins' Guild	
EDITU_00064	5	lib/edit/f_info.txt	758	feature_name	E	section of the Pattern	
EDITU_00065	5	lib/edit/t_lite.old	314	building	B:8:owner	Tanistil	
EDITU_00066	5	lib/edit/t_lite.old	320	building	B:9:name	Temple of Life	
EDITU_00067	5	lib/edit/t_lite.txt	352	building	B:10:name	Thieves' Guild	
EDITU_00068	5	lib/edit/r_info.txt	4760	description	D	unsuspecting adventurers within reach of its venomous claws.	
EDITU_00069	5	lib/edit/t_ana.txt	149	building	B:6:name	Weaponmaster	
EDITU_00070	4	lib/edit/e_info.txt	304	ego_name	N:name	(Dwarven)	
EDITU_00071	4	lib/edit/t_ana.txt	146	building	B:5:name	Beastmaster	
EDITU_00072	4	lib/edit/t_lite.old	273	building	B:4:name	Chaos Tower	
EDITU_00073	4	lib/edit/f_info.txt	257	feature_name	E	dart trap	
EDITU_00074	4	lib/edit/t_lite.old	258	building_action	B:2:action:0	Enter in arena	
EDITU_00075	4	lib/edit/t_lite.old	354	building	B:14:name	Gamble Shop	
EDITU_00076	4	lib/edit/f_info.txt	300	feature_name	E	gas trap	
EDITU_00077	4	lib/edit/k_info.txt	2985	object_flavor	N:flavor	Gold	
EDITU_00078	4	lib/edit/d_info.txt	94	dungeon_name	N:name	Graveyard	
EDITU_00079	4	lib/edit/t_lite.old	354	building	B:14:owner_race	Half-giant	
EDITU_00080	4	lib/edit/t_lite.old	354	building	B:14:owner	Hector	
EDITU_00081	4	lib/edit/r_info.txt	572	description	D	It is a large slimy mass of worms.	
EDITU_00082	4	lib/edit/t_lite.old	281	building	B:5:owner	Josh	
EDITU_00083	4	lib/edit/t_lite.old	254	building_action	B:1:action:2	Legal Name Change	
EDITU_00084	4	lib/edit/t_lite.old	259	building_action	B:2:action:1	Look at poster	
EDITU_00085	4	lib/edit/t_lite.old	281	building	B:5:name	Nature Tower	
EDITU_00086	4	lib/edit/f_info.txt	706	feature_name	E	permanent wall	
EDITU_00087	4	lib/edit/t_lite.old	360	building_action	B:14:action:5	Random Armor	
EDITU_00088	4	lib/edit/t_lite.old	355	building_action	B:14:action:0	Random Potion	
EDITU_00089	4	lib/edit/t_lite.old	359	building_action	B:14:action:4	Random Rod	
EDITU_00090	4	lib/edit/t_lite.old	356	building_action	B:14:action:1	Random Scroll	
EDITU_00091	4	lib/edit/t_lite.old	357	building_action	B:14:action:2	Random Staff	
EDITU_00092	4	lib/edit/t_lite.old	358	building_action	B:14:action:3	Random Wand	
EDITU_00093	4	lib/edit/t_lite.old	361	building_action	B:14:action:6	Random Weapon	
EDITU_00094	4	lib/edit/t_lite.old	299	building_action	B:7:action:2	Reforge artifact	
EDITU_00095	4	lib/edit/t_lite.old	283	building_action	B:5:action:1	Ritual of balance	
EDITU_00096	4	lib/edit/k_info.txt	3255	object_flavor	N:flavor	Silver	
EDITU_00097	4	lib/edit/t_lite.old	243	building	B:0:name	The White Horse Inn	
EDITU_00098	4	lib/edit/t_lite.old	273	building	B:4:owner	Xeno	
EDITU_00099	4	lib/edit/r_info.txt	805	description	D	Yum! It looks quite tasty.	
EDITU_00100	3	lib/edit/k_info.txt	4113	object_name	N:name	& Eye	
EDITU_00101	3	lib/edit/k_info.txt	4001	object_name	N:name	& Jewel~	
EDITU_00102	3	lib/edit/r_info.txt	19468	description	D	A human, clothed in a blue robe, moving with speed uncanny.	
EDITU_00103	3	lib/edit/r_info.txt	886	description	D	A rather vicious dog belonging to Farmer Maggot. It thinks you are	
EDITU_00104	3	lib/edit/r_info.txt	4759	description	D	A strange creature that disguises itself as discarded objects to lure	
EDITU_00105	3	lib/edit/r_info.txt	5162	description	D	An agent of supernatural beings, this creature looks like a	
EDITU_00106	3	lib/edit/t_lite.old	262	building	B:3:owner	Astinus	
EDITU_00107	3	lib/edit/t_lite.old	296	building	B:7:owner	Barak	
EDITU_00108	3	lib/edit/q_chaos.txt	14	description	D	Begone, incompetent fool! The dimensional energies of the	
EDITU_00109	3	lib/edit/r_info.txt	7837	description	D	Big, brawny, powerful and with a taste for hobbit. He has friends called	
EDITU_00110	3	lib/edit/k_info.txt	101	object_flavor	N:flavor	Black	
EDITU_00111	3	lib/edit/f_info.txt	870	feature_name	E	Black Market	
EDITU_00112	3	lib/edit/d_info.txt	155	dungeon_name	N:name	Castle	
EDITU_00113	3	lib/edit/k_info.txt	4240	object_name	N:name	copper	
EDITU_00114	3	lib/edit/t_lite.txt	277	building	B:1:name	Count	
EDITU_00115	3	lib/edit/t_lite.old	320	building	B:9:owner	Crysania	
EDITU_00116	3	lib/edit/q_doom2.txt	17	description	D	demon fell, we felt an evil aura depart from this town,	
EDITU_00117	3	lib/edit/q_doom2.txt	16	description	D	Gods be praised, you have returned alive! When the last	
EDITU_00118	3	lib/edit/q_inntrouble.txt	10	description	D	Here is a reward for your good work.	
EDITU_00119	3	lib/edit/t_lite.old	256	building	B:2:owner	Hideshi	
EDITU_00120	3	lib/edit/r_info.txt	5163	description	D	huge eagle.	
EDITU_00121	3	lib/edit/t_lite.old	365	building	B:15:name	Hunter's office	
EDITU_00122	3	lib/edit/r_info.txt	5125	description	D	It was left here to be used against intruders.	
EDITU_00123	3	lib/edit/t_lite.old	365	building	B:15:owner	Kopei	
EDITU_00124	3	lib/edit/t_lite.old	341	building	B:12:owner	Langordathur	
EDITU_00125	3	lib/edit/t_lite.old	326	building	B:10:owner	Lardbottom	
EDITU_00126	3	lib/edit/t_lite.old	287	building	B:6:owner	Materim	
EDITU_00127	3	lib/edit/q_chaos.txt	15	description	D	mystic Node have faded away and are lost forever! You had	
EDITU_00128	3	lib/edit/t_ana.txt	183	building	B:11:owner	Neldorien	
EDITU_00129	3	lib/edit/e_info.txt	257	ego_name	N:name	of Protection	
EDITU_00130	3	lib/edit/e_info.txt	44	ego_name	N:name	of Slaying	
EDITU_00131	3	lib/edit/t_lite.old	243	building	B:0:owner	Otick	
EDITU_00132	3	lib/edit/f_info.txt	183	feature_name	E	pit	
EDITU_00133	3	lib/edit/q_doom2.txt	21	description	D	questing.	
EDITU_00134	3	lib/edit/r_info.txt	887	description	D	stealing mushrooms.	
EDITU_00135	3	lib/edit/q_dark_elves.txt	17	description	D	The quest was more than you could handle.	
EDITU_00136	3	lib/edit/r_info.txt	19411	description	D	This sluggish lizard-like being approaches you with a large knife brandished.	
EDITU_00137	3	lib/edit/f_info.txt	1275	feature_name	E	Town	
EDITU_00138	3	lib/edit/t_lite.old	251	building	B:1:owner	Uldrik	
EDITU_00139	3	lib/edit/q_chaos.txt	16	description	D	your chance and botched the job.	
EDITU_00140	2	lib/edit/k_info.txt	852	object_name	N:name	& Death Scythe~	
EDITU_00141	2	lib/edit/k_info.txt	1180	object_name	N:name	& Gun~	
EDITU_00142	2	lib/edit/k_info.txt	1771	object_name	N:name	& Robe~	
EDITU_00143	2	lib/edit/e_info.txt	92	ego_name	N:name	(Craft)	
EDITU_00144	2	lib/edit/e_info.txt	97	ego_name	N:name	(Crusade)	
EDITU_00145	2	lib/edit/e_info.txt	112	ego_name	N:name	(Death)	
EDITU_00146	2	lib/edit/e_info.txt	149	ego_name	N:name	(Defender)	
EDITU_00147	2	lib/edit/e_info.txt	874	ego_name	N:name	(Elemental)	
EDITU_00148	2	lib/edit/r_info.txt	9816	description	D	A disembodied eye, surrounded by twelve smaller eyes on stalks.	
EDITU_00149	2	lib/edit/r_info.txt	10615	description	D	A huge draconic form wreathed in a nimbus of light.	
EDITU_00150	2	lib/edit/r_info.txt	10488	description	D	A human figure in robes, he moves with magically improved speed, and his	
EDITU_00151	2	lib/edit/q_crypt.txt	2	description	D	A mysterious force has entered the royal crypt and is	
EDITU_00152	2	lib/edit/r_info.txt	18797	description	D	A novice in the arts of mind over matter.	
EDITU_00153	2	lib/edit/r_info.txt	5013	description	D	A sentient section of wall.	
EDITU_00154	2	lib/edit/r_info.txt	7052	description	D	A sentient, moving section of wall.	
EDITU_00155	2	lib/edit/k_info.txt	1448	description	D	A set of double-lined leather boots, with toes and heels reinforced with	
EDITU_00156	2	lib/edit/k_info.txt	1622	description	D	A set of gloves that completely covers the hand and wrist in steel plating.	
EDITU_00157	2	lib/edit/r_info.txt	4459	description	D	A short and swarthy Easterling.	
EDITU_00158	2	lib/edit/a_info.txt	3410	description	D	A suit of utterly black scales, against which no metal or wood can rest.	
EDITU_00159	2	lib/edit/q_volc.txt	9	description	D	A volcano has been rumbling in the eastern part of our	
EDITU_00160	2	lib/edit/q_vapor.txt	17	description	D	again soon. This gift may help you detect what evils plague this land.	
EDITU_00161	2	lib/edit/r_info.txt	1323	description	D	An agile hunter, ready and relaxed.	
EDITU_00162	2	lib/edit/r_info.txt	8090	description	D	An almost life-like creature which is nothing more than a phantom	
EDITU_00163	2	lib/edit/r_info.txt	20164	description	D	An ancient giant nearly twenty feet tall. The air around	
EDITU_00164	2	lib/edit/r_info.txt	12573	description	D	An enormously fearsome and powerful inhabitant of the depths. It	
EDITU_00165	2	lib/edit/r_info.txt	2871	description	D	An ugly screaming little demon servant of Tzeentch.	
EDITU_00166	2	lib/edit/r_info.txt	9857	description	D	and try to resist all desires to obey it.	
EDITU_00167	2	lib/edit/r_info.txt	18072	description	D	and you will win The Can of Toys!	
EDITU_00168	2	lib/edit/t_ana.txt	152	building	B:7:owner_race	Android	
EDITU_00169	2	lib/edit/q_doom2.txt	8	description	D	Another strange hole in reality has opened up on the edge of	
EDITU_00170	2	lib/edit/r_info.txt	7183	description	D	at him."	
EDITU_00171	2	lib/edit/b_info.txt	871	body_name	N:name	Auto-roller	
EDITU_00172	2	lib/edit/q_vapor.txt	6	description	D	basement that drive out all living things. A caged canary was	
EDITU_00173	2	lib/edit/q_mimics_treasure.txt	7	description	D	be rewarded.	
EDITU_00174	2	lib/edit/k_info.txt	93	object_name	N:name	Blindness	
EDITU_00175	2	lib/edit/b_info.txt	683	body_name	N:name	Bloodthirster	
EDITU_00176	2	lib/edit/k_info.txt	93	object_flavor	N:flavor	Blue	
EDITU_00177	2	lib/edit/q_crypt.txt	4	description	D	bodily remains have been magically animated and their spirits	
EDITU_00178	2	lib/edit/t_outp.txt	145	building	B:13:name	Bounty Office	
EDITU_00179	2	lib/edit/k_info.txt	117	object_flavor	N:flavor	Brown	
EDITU_00180	2	lib/edit/b_info.txt	389	body_name	N:name	Chthonian	
EDITU_00181	2	lib/edit/q_chaos.txt	6	description	D	claim the mystical energies of the Node.	
EDITU_00182	2	lib/edit/r_info.txt	18071	description	D	Collect 5 marks of Silver Angel or 1 mark of Gold Angel	
EDITU_00183	2	lib/edit/q_crypt.txt	6	description	D	crypt and seek out the Archliches. Once they have been	
EDITU_00184	2	lib/edit/b_info.txt	834	body_name	N:name	Culverin	
EDITU_00185	2	lib/edit/b_info.txt	858	body_name	N:name	Cyaegha	
EDITU_00186	2	lib/edit/q_vapor.txt	15	description	D	dangerous creatures are often nearby. Perhaps this is an ill	
EDITU_00187	2	lib/edit/k_info.txt	185	object_flavor	N:flavor	Dark Blue	
EDITU_00188	2	lib/edit/r_info.txt	1861	monster_name	N:name	Dark elf	
EDITU_00189	2	lib/edit/k_info.txt	194	object_flavor	N:flavor	Dark Green	
EDITU_00190	2	lib/edit/r_info.txt	9669	description	D	darted like a stupendous monster of nightmares..."	
EDITU_00191	2	lib/edit/q_info.txt	353	quest_name	N:name	Demon Slayer (Morivant)	
EDITU_00192	2	lib/edit/r_info.txt	18018	monster_name	N:name	Demonologist	
EDITU_00193	2	lib/edit/q_crypt.txt	3	description	D	desecrating the graves of the king's noble ancestors. Their	
EDITU_00194	2	lib/edit/b_info.txt	414	body_name	N:name	Dhole	
EDITU_00195	2	lib/edit/f_info.txt	236	feature_name	E	discolored spot	
EDITU_00196	2	lib/edit/q_info.txt	346	quest_name	N:name	Dragon Slayer (Morivant)	
EDITU_00197	2	lib/edit/d_info.txt	82	dungeon_name	N:name	Dragon's lair	
EDITU_00198	2	lib/edit/b_info.txt	719	body_name	N:name	Drider	
EDITU_00199	2	lib/edit/b_info.txt	931	body_name	N:name	Elder Thing	
EDITU_00200	2	lib/edit/q_crypt.txt	5	description	D	enslaved and forcibly turned to evil. You must enter the	
EDITU_00201	2	lib/edit/r_info.txt	11890	monster_name	N:name	Ent	
EDITU_00202	2	lib/edit/b_info.txt	556	body_name	N:name	Ettin	
EDITU_00203	2	lib/edit/d_info.txt	175	dungeon_name	N:name	Eyrie	
EDITU_00204	2	lib/edit/r_info.txt	5082	description	D	fast, but fortunately blessed with orcish brains.	
EDITU_00205	2	lib/edit/r_info.txt	10879	description	D	fingers.	
EDITU_00206	2	lib/edit/r_info.txt	9710	description	D	fire.	
EDITU_00207	2	lib/edit/r_info.txt	6529	description	D	Flesh is falling off in chunks from this decaying abomination.	
EDITU_00208	2	lib/edit/k_info.txt	4270	object_name	N:name	garnets	
EDITU_00209	2	lib/edit/f_info.txt	816	feature_name	E	General Store	
EDITU_00210	2	lib/edit/q_antipaladin.txt	9	description	D	getting sick, and a general run of bad luck for our town.	
EDITU_00211	2	lib/edit/q_info.txt	339	quest_name	N:name	Giant Slayer (Morivant)	
EDITU_00212	2	lib/edit/q_doom2.txt	20	description	D	gift from our resident Wizard. May you find it useful in your	
EDITU_00213	2	lib/edit/b_info.txt	905	body_name	N:name	Glaaki	
EDITU_00214	2	lib/edit/t_ana.txt	138	building	B:4:owner_race	Golem	
EDITU_00215	2	lib/edit/b_info.txt	464	body_name	N:name	Gorgimera	
EDITU_00216	2	lib/edit/a_info.txt	2865	description	D	great Emperor Lich.	
EDITU_00217	2	lib/edit/b_info.txt	296	body_name	N:name	Greater Hell-Beast	
EDITU_00218	2	lib/edit/vaults.txt	1120	room_or_vault_name	N:name	Greater vault (nethack building)	
EDITU_00219	2	lib/edit/k_info.txt	167	object_flavor	N:flavor	Green	
EDITU_00220	2	lib/edit/r_info.txt	2312	monster_name	N:name	Gremlin	
EDITU_00221	2	lib/edit/b_info.txt	540	body_name	N:name	Gug	
EDITU_00222	2	lib/edit/r_info.txt	17917	description	D	He is always traveling together with	
EDITU_00223	2	lib/edit/r_info.txt	794	description	D	He is leaving behind a trail of dropped spell components.	
EDITU_00224	2	lib/edit/r_info.txt	12505	description	D	He is one of the few true masters of the art, being extremely skillful in	
EDITU_00225	2	lib/edit/r_info.txt	1816	description	D	He is one of the many weaker 'slave' orcs, often mistakenly known as a	
EDITU_00226	2	lib/edit/r_info.txt	743	description	D	He looks inexperienced but tough.	
EDITU_00227	2	lib/edit/b_info.txt	451	body_name	N:name	Headless	
EDITU_00228	2	lib/edit/b_info.txt	427	body_name	N:name	Horse	
EDITU_00229	2	lib/edit/q_antipaladin.txt	11	description	D	I have evidence that the origin of everything is the stranger	
EDITU_00230	2	lib/edit/q_bears.txt	20	description	D	I hope I can find someone more capable than you.	
EDITU_00231	2	lib/edit/q_trollslayer.txt	2	description	D	If you want our respect you need to prove yourself. Go to	
EDITU_00232	2	lib/edit/t_angwil.txt	140	building	B:9:name	Inner Temple	
EDITU_00233	2	lib/edit/k_info.txt	1449	description	D	iron, allowing the wearer to deal a swift kick.	
EDITU_00234	2	lib/edit/r_info.txt	10536	description	D	It is a cross between a human and a bull.	
EDITU_00235	2	lib/edit/r_info.txt	1802	description	D	It is a pile of coins, crawling forward on thousands of tiny legs.	
EDITU_00236	2	lib/edit/r_info.txt	1223	description	D	It is a strange growth on the dungeon floor.	
EDITU_00237	2	lib/edit/r_info.txt	431	description	D	It is about eight feet long.	
EDITU_00238	2	lib/edit/r_info.txt	977	description	D	It is about ten feet long.	
EDITU_00239	2	lib/edit/r_info.txt	9856	description	D	It is an angel, fast and strong. You are stunned by its extreme holiness	
EDITU_00240	2	lib/edit/q_antipaladin.txt	21	description	D	It seems like I've overestimated your power. But at least	
EDITU_00241	2	lib/edit/q_cloning_pits.txt	20	description	D	It seems like this task was too difficult for you.	
EDITU_00242	2	lib/edit/f_info.txt	1620	feature_name	E	Jeweler	
EDITU_00243	2	lib/edit/b_info.txt	1030	body_name	N:name	Keeper of Secrets	
EDITU_00244	2	lib/edit/t_lite.txt	373	building	B:13:owner	Kimuk	
EDITU_00245	2	lib/edit/q_doom2.txt	10	description	D	last. Five of our strongest knights ventured within -- only	
EDITU_00246	2	lib/edit/k_info.txt	1603	description	D	Leather hand protection, with an open palm for gripping weapons.	
EDITU_00247	2	lib/edit/vaults.txt	83	room_or_vault_name	N:name	Lesser vault (diagonal)	
EDITU_00248	2	lib/edit/vaults.txt	30	room_or_vault_name	N:name	Lesser vault (octagon)	
EDITU_00249	2	lib/edit/vaults.txt	66	room_or_vault_name	N:name	Lesser vault (square)	
EDITU_00250	2	lib/edit/q_doom2.txt	18	description	D	letting all breathe easier again. Please accept our	
EDITU_00251	2	lib/edit/k_info.txt	229	object_flavor	N:flavor	Light Blue	
EDITU_00252	2	lib/edit/k_info.txt	151	object_flavor	N:flavor	Light Green	
EDITU_00253	2	lib/edit/q_antipaladin.txt	12	description	D	living in the house in the north-west corner of town.	
EDITU_00254	2	lib/edit/r_info.txt	7913	monster_name	N:name	Logrus master	
EDITU_00255	2	lib/edit/r_info.txt	12487	monster_name	N:name	Lord of Chaos	
EDITU_00256	2	lib/edit/q_volc.txt	12	description	D	making their home at the volcano. You must exterminate	
EDITU_00257	2	lib/edit/b_info.txt	669	body_name	N:name	Marilith	
EDITU_00258	2	lib/edit/r_info.txt	15689	monster_name	N:name	Metal Babble	
EDITU_00259	2	lib/edit/b_info.txt	492	body_name	N:name	Minotaur	
EDITU_00260	2	lib/edit/r_info.txt	17918	description	D	Mitsukuni of the Yellow Gate, Grand Duke of Mito	
EDITU_00261	2	lib/edit/f_info.txt	999	feature_name	E	mountain chain	
EDITU_00262	2	lib/edit/k_info.txt	159	object_name	N:name	Naivety	
EDITU_00263	2	lib/edit/r_info.txt	10935	description	D	Never a more heavenly being have you seen. The very holiness of its	
EDITU_00264	2	lib/edit/q_drag_old.txt	9	description	D	Nicely done. Here's another trophy of your victory.	
EDITU_00265	2	lib/edit/r_info.txt	780	monster_name	N:name	Novice mage	
EDITU_00266	2	lib/edit/r_info.txt	18786	monster_name	N:name	Novice mindcrafter	
EDITU_00267	2	lib/edit/r_info.txt	1506	monster_name	N:name	Novice paladin	
EDITU_00268	2	lib/edit/r_info.txt	1308	monster_name	N:name	Novice ranger	
EDITU_00269	2	lib/edit/r_info.txt	730	monster_name	N:name	Novice warrior	
EDITU_00270	2	lib/edit/q_volc.txt	11	description	D	Now, it is time to eliminate all creatures that are	
EDITU_00271	2	lib/edit/a_info.txt	1530	artifact_name	N:name	of Bard	
EDITU_00272	2	lib/edit/a_info.txt	1629	artifact_name	N:name	of Buckland	
EDITU_00273	2	lib/edit/a_info.txt	2101	artifact_name	N:name	of Destruction	
EDITU_00274	2	lib/edit/e_info.txt	275	ego_name	N:name	of Elvenkind	
EDITU_00275	2	lib/edit/e_info.txt	332	ego_name	N:name	of Endurance	
EDITU_00276	2	lib/edit/a_info.txt	714	artifact_name	N:name	of Feanor	
EDITU_00277	2	lib/edit/e_info.txt	1099	ego_name	N:name	of Holding	
EDITU_00278	2	lib/edit/e_info.txt	500	ego_name	N:name	of Immolation	
EDITU_00279	2	lib/edit/a_info.txt	1944	artifact_name	N:name	of Musashi	
EDITU_00280	2	lib/edit/a_info.txt	351	artifact_name	N:name	of Shiva's Avatar	
EDITU_00281	2	lib/edit/e_info.txt	773	ego_name	N:name	of Speed	
EDITU_00282	2	lib/edit/a_info.txt	1271	artifact_name	N:name	of the Dwarves	
EDITU_00283	2	lib/edit/e_info.txt	658	ego_name	N:name	of the Magi	
EDITU_00284	2	lib/edit/e_info.txt	541	ego_name	N:name	of the Nazgul	
EDITU_00285	2	lib/edit/a_info.txt	147	description	D	of the three Rings of Power created by the Elves and hidden by them from	
EDITU_00286	2	lib/edit/a_info.txt	2858	artifact_name	N:name	of Vecna	
EDITU_00287	2	lib/edit/a_info.txt	2395	artifact_name	N:name	of Wilhelm Tell	
EDITU_00288	2	lib/edit/a_info.txt	2501	artifact_name	N:name	of Yositsune	
EDITU_00289	2	lib/edit/r_info.txt	3743	description	D	Oh no! They are everywhere!	
EDITU_00290	2	lib/edit/q_pit2.txt	14	description	D	Oh. no.	
EDITU_00291	2	lib/edit/q_vapor.txt	16	description	D	omen of dangers yet to come... We may be in need of your services	
EDITU_00292	2	lib/edit/q_antipaladin.txt	6	description	D	One of the houses in town was recently sold to a foreign	
EDITU_00293	2	lib/edit/q_doom2.txt	11	description	D	one returned, scorched by fire and babbling incoherently.	
EDITU_00294	2	lib/edit/b_info.txt	855	body_name	N:name	Orb	
EDITU_00295	2	lib/edit/q_doom2.txt	9	description	D	our town, and appears to be even more dangerous than the	
EDITU_00296	2	lib/edit/t_lite.old	347	building	B:13:owner	Pelloi	
EDITU_00297	2	lib/edit/rooms.txt	1265	room_or_vault_name	N:name	Pillars I	
EDITU_00298	2	lib/edit/rooms.txt	1281	room_or_vault_name	N:name	Pillars II	
EDITU_00299	2	lib/edit/rooms.txt	1298	room_or_vault_name	N:name	Pillars III	
EDITU_00300	2	lib/edit/rooms.txt	1799	room_or_vault_name	N:name	Pillars IV	
EDITU_00301	2	lib/edit/q_vapor.txt	7	description	D	placed there to test the air quality; it died within minutes,	
EDITU_00302	2	lib/edit/q_vapor.txt	10	description	D	Please see if you can detect what is amiss.	
EDITU_00303	2	lib/edit/k_info.txt	84	object_name	N:name	Poison	
EDITU_00304	2	lib/edit/r_info.txt	10936	description	D	presence makes you deeply respect it. Few creatures can match the powers	
EDITU_00305	2	lib/edit/f_info.txt	607	feature_name	E	quartz vein	
EDITU_00306	2	lib/edit/b_info.txt	646	body_name	N:name	Quylthulg	
EDITU_00307	2	lib/edit/v_info.txt	695	room_or_vault_name	N:name	Random Volcano Level	
EDITU_00308	2	lib/edit/k_info.txt	84	object_flavor	N:flavor	Red	
EDITU_00309	2	lib/edit/r_info.txt	21929	description	D	reflect from it as it moves in the light.	
EDITU_00310	2	lib/edit/r_info.txt	12574	description	D	resembles a gargantuan octopus and its evil is almost tangible.	
EDITU_00311	2	lib/edit/q_crypt.txt	8	description	D	rest.	
