id	priority	category	file	line	col	source	zh_cn	context	notes
SRC_00031	high	prompt	src/alky.c	466	17	You have nothing to create infusions from.	你没有可以用来制造萃取液的物品。	prompt.error = "You have nothing to create infusions from.";	
SRC_00032	medium	possible_name	src/alky.c	483	30	Replace	替换	dest_ptr = _chooseInfusion("Replace", prompt.obj->tval, _ALLOW_EMPTY);	
SRC_00033	high	message	src/alky.c	491	14	This slot is already full of %s.	这个槽位已经装满了%s。	msg_format("This slot is already full of %s.", o_name);	
SRC_00036	high	message	src/alky.c	509	31	You do nothing.	你什么也没做。	if (infct <= 0) { msg_format("You do nothing."); return FALSE; }	
SRC_00037	high	message	src/alky.c	522	15	You create %d additional infusion%s.	你额外制造了%d份萃取液%s。	msg_format("You create %d additional infusion%s.", infct, ((infct == 1) ? "" : "s"));	
SRC_00038	high	message	src/alky.c	525	15	You create %d additional infusion%s, reaching the limit.	你额外制造了%d份萃取液%s，达到了上限。	msg_format("You create %d additional infusion%s, reaching the limit.", infct, ((infct == 1) ? "" : "s"));	
SRC_00039	high	message	src/alky.c	533	14	You create %s from %s.	你制造了%s，提取自%s。	msg_format("You create %s from %s.", infct == 1 ? "an infusion" : "infusions", o_name);	
SRC_00040	high	message	src/alky.c	533	53	an infusion	一份萃取液	msg_format("You create %s from %s.", infct == 1 ? "an infusion" : "infusions", o_name);	
SRC_00041	high	message	src/alky.c	533	69	infusions	多份萃取液	msg_format("You create %s from %s.", infct == 1 ? "an infusion" : "infusions", o_name);	
SRC_00042	high	name_desc	src/alky.c	553	23	Create Infusion	制造萃取液	var_set_string(res, "Create Infusion");	
SRC_00043	high	name_desc	src/alky.c	556	23	Alchemically processes a potion to create an infusion - faster to use, and resistant to damage.	通过炼金术处理药水来制造萃取液——使用速度更快，且不易损坏。	var_set_string(res, "Alchemically processes a potion to create an infusion - faster to use, and resistant to damage.");	
SRC_00047	medium	possible_name	src/alky.c	618	37	It produces a cloud of darkness	它会产生一团黑暗云雾	case SV_POTION_BLINDNESS: desc = "It produces a cloud of darkness"; break;	
SRC_00067	high	message	src/alky.c	657	34	You cannot evaporate this potion.	你不能挥发这瓶药水。	if (blastType < 0) { msg_format("You cannot evaporate this potion."); return FALSE; }	
SRC_00068	high	message	src/alky.c	668	13	You evaporate %s. %s	你挥发了%s。%s	msg_format("You evaporate %s. %s", o_name, desc);	
SRC_00071	high	prompt	src/alky.c	704	19	Evaporate which potion?	挥发哪瓶药水？	prompt.prompt = "Evaporate which potion?";	
SRC_00072	high	prompt	src/alky.c	705	18	You have nothing to evaporate.	你没有可以挥发的物品。	prompt.error = "You have nothing to evaporate.";	
SRC_00073	medium	possible_name	src/alky.c	724	27	Evaporate	挥发	o_ptr = _chooseInfusion("Evaporate", TV_POTION, 0);	
SRC_00074	high	message	src/alky.c	728	15	There's nothing to evaporate.	没有什么可挥发的。	msg_format("There's nothing to evaporate.");	
SRC_00075	high	name_desc	src/alky.c	747	23	Evaporate	挥发	var_set_string(res, "Evaporate");	
SRC_00076	high	name_desc	src/alky.c	750	23	Evaporates a potion, creating a burst that may harm or benefit creatures.	挥发一瓶药水，产生可能对生物有害或有益的爆发效果。	var_set_string(res, "Evaporates a potion, creating a burst that may harm or benefit creatures.");	
SRC_00078	medium	possible_name	src/alky.c	770	149	All	全部	sprintf(prompt, "Really break down %s? %s chemicals will be lost due to lack of room. <color:y>[y/n]</color>", o_name, _CHEM[tier] == _MAX_CHEM ? "All" : "Some of the");	
SRC_00079	medium	possible_name	src/alky.c	770	157	Some of the	部分	sprintf(prompt, "Really break down %s? %s chemicals will be lost due to lack of room. <color:y>[y/n]</color>", o_name, _CHEM[tier] == _MAX_CHEM ? "All" : "Some of the");	
SRC_00081	high	message	src/alky.c	778	26	You break down the potion%s and gain %d %s chemicals, for a total of %d.	你分解了药水%s并获得%d份%s化学试剂，总计%d份。	if (newchem) msg_format("You break down the potion%s and gain %d %s chemicals, for a total of %d.", (singular ? "" : "s"), newchem, _tiername[tier], _CHEM[tier]);	
SRC_00082	high	message	src/alky.c	779	18	You break down the potion%s, losing all the chemicals in %s.	你分解了药水%s，丢失了%s中所有的化学试剂。	else msg_format("You break down the potion%s, losing all the chemicals in %s.", singular ? "" : "s", singular ? "it" : "them");	
SRC_00083	high	message	src/alky.c	779	114	it	它	else msg_format("You break down the potion%s, losing all the chemicals in %s.", singular ? "" : "s", singular ? "it" : "them");	
SRC_00084	high	message	src/alky.c	779	121	them	它们	else msg_format("You break down the potion%s, losing all the chemicals in %s.", singular ? "" : "s", singular ? "it" : "them");	
SRC_00085	high	prompt	src/alky.c	788	18	Break down which potions?	分解哪些药水？	prompt.prompt = "Break down which potions?";	
SRC_00086	high	prompt	src/alky.c	789	17	You have nothing to break down.	你没有可以分解的物品。	prompt.error = "You have nothing to break down.";	
SRC_00087	high	message	src/alky.c	802	33	It's just H2O, funny guy.	那只是H2O，伙计。	if(randint0(100)<8) msg_print("It's just H2O, funny guy.");	游戏内的彩蛋幽默信息
SRC_00088	high	message	src/alky.c	803	35	You attempt to break down the dihydrogen monoxide, but fail.	你试图分解一氧化二氢，但是失败了。	else if (one_in_(12)) msg_print("You attempt to break down the dihydrogen monoxide, but fail.");	
SRC_00089	high	message	src/alky.c	804	18	It's just plain water.	这只是普通的水。	else msg_print("It's just plain water.");	
SRC_00090	high	name_desc	src/alky.c	822	23	Break Down Potion	分解药水	var_set_string(res, "Break Down Potion");	
SRC_00091	high	name_desc	src/alky.c	825	23	Breaks down a potion to its base chemicals.	将一瓶药水分解为其基础化学试剂。	var_set_string(res, "Breaks down a potion to its base chemicals.");	
SRC_00092	high	message	src/alky.c	850	13	This slot is already full.	这个槽位已经满了。	msg_print("This slot is already full."); // perhaps make it sound more flavourful...	
SRC_00093	high	message	src/alky.c	855	13	There's nothing to reproduce.	没有什么可复制的。	msg_print("There's nothing to reproduce.");	
SRC_00094	high	message	src/alky.c	871	14	This infusion is beyond your skills to reproduce.	你的技能不足以复制这种萃取液。	msg_format("This infusion is beyond your skills to reproduce.");	
SRC_00097	high	message	src/alky.c	885	14	You do not have enough %s chemicals.	你没有足够的%s化学试剂。	msg_format("You do not have enough %s chemicals.", _tiername[tier]);	
SRC_00098	high	message	src/alky.c	891	14	You recreate %d infusion%s.	你复制了%d份萃取液%s。	msg_format("You recreate %d infusion%s.", infct, ((infct == 1) ? "" : "s"));	
SRC_00099	medium	possible_name	src/alky.c	902	26	Reproduce	复制	o_ptr = _chooseInfusion("Reproduce", TV_POTION, 0);	
SRC_00100	high	name_desc	src/alky.c	912	23	Reproduce Infusion	复制萃取液	var_set_string(res, "Reproduce Infusion");	
SRC_00101	high	name_desc	src/alky.c	915	23	Uses chemicals to create an infusion based on an existing infusion.	使用化学试剂基于现有的萃取液制造一份新的萃取液。	var_set_string(res, "Uses chemicals to create an infusion based on an existing infusion.");	
SRC_00102	high	message	src/alky.c	1006	14	You attempt to break down %s.	你尝试分解%s。	msg_format("You attempt to break down %s. ", o_name);	
SRC_00103	high	display	src/alky.c	1096	20	%c) (Empty)\n	%c) (空)\n	doc_printf(doc, "%c) (Empty)\\n", I2A(i));	
SRC_00104	high	display	src/alky.c	1103	18	<topic:Alchemist>============================= Created <color:keypress>I</color>nfusions ============================\n\n	<topic:Alchemist>============================= 制造出的萃取液 (<color:keypress>I</color>) ============================\n\n	doc_printf(doc, "<topic:Alchemist>============================= Created <color:keypress>I</color>nfusions ============================\\n\\n");	
SRC_00106	high	name_desc	src/alky.c	1164	13	Alchemist	炼金术士	me.name = "Alchemist";	
SRC_00107	high	name_desc	src/alky.c	1165	13	Alchemists are masters of tinctures, concoctions and infusions. They can prepare themselves set infusions from potions that replicate the effect - without consuming inventory space or being in danger of shattering. They are reasonably good at melee, especially with the right potions, though they cannot rival melee specialists. Even bad potions are useful in their hands, as weapons or ingredients. Their other abilities include creating copies of potions and turning items to gold. They require intelligence for some of their abilities.\n	炼金术士是酊剂、混合药剂和萃取液的大师。他们可以从药水中为自己准备特殊的萃取液以复制其效果——这不会占用背包空间，也没有破裂的危险。他们相当擅长近战，特别是配合合适的药水时，尽管他们无法与近战专家相媲美。即使是劣质的药水在他们手中也能作为武器或材料发挥作用。他们的其他能力包括复制药水和把物品点石成金。他们的一些能力需要智力（Intelligence）加成。\n	me.desc = "Alchemists are masters of tinctures, concoctions and "	
SRC_00134	medium	other	src/angband.h	58	10	quest.h	quest.h	#include "quest.h"	不应翻译文件名
SRC_00142	medium	other	src/angband.h	68	10	menu.h	menu.h	#include "menu.h"	不应翻译文件名
SRC_00146	high	prompt	src/archer.c	16	21	Convert which item?	转化哪件物品？	prompt.prompt = "Convert which item?";	
SRC_00147	high	prompt	src/archer.c	17	20	You have no item to convert.	你没有可以转化的物品。	prompt.error = "You have no item to convert.";	
SRC_00148	high	message	src/archer.c	34	16	You make %s.	你制造了%s。	msg_format("You make %s.", name);	
SRC_00149	high	prompt	src/archer.c	49	21	Convert which item?	转化哪件物品？	prompt.prompt = "Convert which item?";	
SRC_00150	high	prompt	src/archer.c	50	20	You have no item to convert.	你没有可以转化的物品。	prompt.error = "You have no item to convert.";	
SRC_00151	high	message	src/archer.c	67	16	You make %s.	你制造了%s。	msg_format("You make %s.", name);	
SRC_00152	high	message	src/archer.c	92	19	You need a pile of rubble.	你需要一堆碎石。	msg_print("You need a pile of rubble.");	
SRC_00153	high	message	src/archer.c	98	19	You failed to make ammo.	你制造弹药失败了。	msg_print("You failed to make ammo.");	
SRC_00154	high	message	src/archer.c	110	16	You make %s.	你制造了%s。	msg_format("You make %s.", name);	
SRC_00155	high	message	src/archer.c	125	19	You are too confused!	你太困惑了！	msg_print("You are too confused!");	
SRC_00156	high	message	src/archer.c	130	19	You can't see!	你看不见！	msg_print("You can't see!");	
SRC_00160	high	name_desc	src/archer.c	186	29	Create Ammo	制造弹药	var_set_string(res, "Create Ammo");	
SRC_00161	high	name_desc	src/archer.c	189	29	Create arrows, bolts or shots.	制造箭、弩箭或弹丸。	var_set_string(res, "Create arrows, bolts or shots.");	
SRC_00162	high	name_desc	src/archer.c	233	19	Archer	弓箭手	me.name = "Archer";	
SRC_00163	high	name_desc	src/archer.c	234	19	Archers are to bows what warriors are to melee. They are the best class around with any bow, crossbow, or sling. They need a lot of ammunition, but will learn how to make it from junk found in the dungeon. An archer is better than a warrior at stealth, perception, searching and magical devices.\n \nArchers have a class power - 'Create Ammo' - which creates pebbles or shots from rubble, and arrows and crossbow bolts from bones.	弓箭手之于弓如同战士之于近战。他们是所有使用弓、十字弩或投石索的职业中最优秀的。他们需要大量的弹药，但会学习如何从地下城中发现的垃圾里制造弹药。弓箭手在潜行、察觉、搜索和使用魔法装置方面比战士更强。\n \n弓箭手拥有一项职业能力——“制造弹药”——可以把碎石转化成石子或弹丸，也可以把骨骸转化成箭和弩箭。	me.desc = "Archers are to bows what warriors are to melee. They are the best "	
SRC_00166	high	message	src/arky.c	48	23	You can't fetch something that far away!	你无法抓取那么远的东西！	msg_print("You can't fetch something that far away!");	
SRC_00167	high	message	src/arky.c	57	23	There is no object at this place.	那个位置没有物品。	msg_print("There is no object at this place.");	
SRC_00168	high	message	src/arky.c	66	23	You have no direct line of sight to that location.	你的视线无法直接看到那个位置。	msg_print("You have no direct line of sight to that location.");	
SRC_00169	high	message	src/arky.c	71	23	You have no direct line of sight to that location.	你的视线无法直接看到那个位置。	msg_print("You have no direct line of sight to that location.");	
SRC_00170	high	message	src/arky.c	101	19	The object is too heavy.	这件物品太重了。	msg_print("The object is too heavy.");	
SRC_00171	high	message	src/arky.c	108	16	You skillfully crack your whip and fetch %s.	你熟练地挥出皮鞭，抓取了%s。	msg_format("You skillfully crack your whip and fetch %s.", o_name);	
SRC_00172	high	name_desc	src/arky.c	170	29	Ancient Protection	远古庇护	var_set_string(res, "Ancient Protection");	
SRC_00173	high	name_desc	src/arky.c	173	29	Sets a glyph on the floor beneath you. Monsters cannot attack you if you are on a glyph, but can try to break the glyph.	在你脚下的地板上刻下一个符文。如果你站在符文上，怪物无法攻击你，但它们会尝试打破符文。	var_set_string(res, "Sets a glyph on the floor beneath you. Monsters cannot attack you if you are on a glyph, but can try to break the glyph.");	
SRC_00174	high	name_desc	src/arky.c	190	29	Double Crack	双重抽击	var_set_string(res, "Double Crack");	
SRC_00175	high	name_desc	src/arky.c	193	29	Attack a monster normally with your whip, and then randomly attack an adjacent monster.	用皮鞭正常攻击一个怪物，然后随机攻击一个相邻的怪物。	var_set_string(res, "Attack a monster normally with your whip, and then randomly attack an adjacent monster.");	
SRC_00176	high	message	src/arky.c	214	31	Your whip cracks in empty air.	你的皮鞭抽在了空气中。	msg_print("Your whip cracks in empty air.");	
SRC_00177	high	message	src/arky.c	225	39	Your whip cracks in empty air.	你的皮鞭抽在了空气中。	msg_print("Your whip cracks in empty air.");	
SRC_00178	high	message	src/arky.c	251	35	Your whip cracks in empty air.	你的皮鞭抽在了空气中。	msg_print("Your whip cracks in empty air.");	
SRC_00179	high	message	src/arky.c	262	23	Whip techniques can only be used if you are fighting with whips.	鞭法只能在你使用皮鞭战斗时使用。	msg_print("Whip techniques can only be used if you are fighting with whips.");	
SRC_00180	high	name_desc	src/arky.c	277	29	Escape Rope	逃脱绳	var_set_string(res, "Escape Rope");	
SRC_00181	high	name_desc	src/arky.c	280	29	Danger! Abandon this expedition and escape to a new level.	危险！放弃这次探险并逃往一个新的楼层。	var_set_string(res, "Danger! Abandon this expedition and escape to a new level.");	
SRC_00183	high	name_desc	src/arky.c	296	29	Excavation	挖掘	var_set_string(res, "Excavation");	
SRC_00184	high	name_desc	src/arky.c	299	29	You break walls on your quest for treasure! This takes a bit more time, though.	在寻宝的过程中破坏墙壁！不过，这需要花费更多的时间。	var_set_string(res, "You break walls on your quest for treasure! This takes a bit more time, though.");	
SRC_00185	high	message	src/arky.c	327	31	You may excavate no further.	你无法继续挖掘了。	msg_print("You may excavate no further.");	
SRC_00186	high	message	src/arky.c	333	31	You dig your way to treasure!	你挖出了一条通往宝藏的路！	msg_print("You dig your way to treasure!");	
SRC_00187	high	message	src/arky.c	340	31	There is nothing to excavate.	没有什么可挖掘的。	msg_print("There is nothing to excavate.");	
SRC_00188	high	name_desc	src/arky.c	357	29	Extended Crack	延伸抽击	var_set_string(res, "Extended Crack");	
SRC_00189	high	name_desc	src/arky.c	360	29	This spell extends the range of your whip based melee attack.	这个法术能扩大你使用皮鞭进行近战攻击的范围。	var_set_string(res, "This spell extends the range of your whip based melee attack.");	
SRC_00190	high	message	src/arky.c	378	23	Whip techniques can only be used if you are fighting with whips.	鞭法只能在你使用皮鞭战斗时使用。	msg_print("Whip techniques can only be used if you are fighting with whips.");	
SRC_00191	high	name_desc	src/arky.c	393	29	Fetch	抓取	var_set_string(res, "Fetch");	
SRC_00192	high	name_desc	src/arky.c	396	29	Use your whip to fetch a nearby item.	使用皮鞭抓取附近的一件物品。	var_set_string(res, "Use your whip to fetch a nearby item.");	
SRC_00193	high	message	src/arky.c	414	23	Whip techniques can only be used if you are fighting with whips.	鞭法只能在你使用皮鞭战斗时使用。	msg_print("Whip techniques can only be used if you are fighting with whips.");	
SRC_00194	high	name_desc	src/arky.c	429	29	First Aid	急救	var_set_string(res, "First Aid");	
SRC_00195	high	name_desc	src/arky.c	433	33	Heals HP and Stun.	治疗生命值并解除眩晕。	var_set_string(res, "Heals HP and Stun.");	
SRC_00196	high	name_desc	src/arky.c	435	33	Heals HP and Stun. Cures cuts.	治疗生命值并解除眩晕。治愈流血。	var_set_string(res, "Heals HP and Stun. Cures cuts.");	
SRC_00197	high	name_desc	src/arky.c	437	33	Heals HP and Stun. Cures cuts and slows poison.	治疗生命值并解除眩晕。治愈流血并减缓中毒。	var_set_string(res, "Heals HP and Stun. Cures cuts and slows poison.");	
SRC_00198	high	name_desc	src/arky.c	439	33	Heals HP and Stun. Cures cuts and poison.	治疗生命值并解除眩晕。治愈流血和中毒。	var_set_string(res, "Heals HP and Stun. Cures cuts and poison.");	
SRC_00199	high	name_desc	src/arky.c	441	33	Heals HP and Stun. Cures cuts, poison and blindness.	治疗生命值并解除眩晕。治愈流血、中毒和盲目。	var_set_string(res, "Heals HP and Stun. Cures cuts, poison and blindness.");	
SRC_00200	high	name_desc	src/arky.c	443	33	Heals HP and Stun. Cures cuts, poison and blindness. Restores Con.	治疗生命值并解除眩晕。治愈流血、中毒和盲目。恢复体质。	var_set_string(res, "Heals HP and Stun. Cures cuts, poison and blindness. Restores Con.");	
SRC_00201	high	name_desc	src/arky.c	445	33	Heals HP and Stun. Cures cuts, poison and blindness. Restores Con and Chr.	治疗生命值并解除眩晕。治愈流血、中毒和盲目。恢复体质和魅力。	var_set_string(res, "Heals HP and Stun. Cures cuts, poison and blindness. Restores Con and Chr.");	
SRC_00202	high	name_desc	src/arky.c	447	33	Heals HP and Stun. Cures cuts, poison and blindness. Restores Con, Chr and Str.	治疗生命值并解除眩晕。治愈流血、中毒和盲目。恢复体质、魅力和力量。	var_set_string(res, "Heals HP and Stun. Cures cuts, poison and blindness. Restores Con, Chr and Str.");	
SRC_00203	high	name_desc	src/arky.c	450	29	Heals HP and Stun. Slows Poison (L12). Cures cuts (L8), poison (L16) and blindness (L20). Restores Con (L30), Chr (L40) and Str (L45).	治疗生命值并解除眩晕。减缓中毒（L12）。治愈流血（L8）、中毒（L16）和盲目（L20）。恢复体质（L30）、魅力（L40）和力量（L45）。	var_set_string(res, "Heals HP and Stun. Slows Poison (L12). Cures cuts (L8), poison (L16) and blindness (L20). Restores Con (L30), Chr (L40) and Str (L45).");	
SRC_00204	high	name_desc	src/arky.c	490	29	Identify	鉴定	var_set_string(res, "Identify");	
SRC_00205	high	name_desc	src/arky.c	494	33	New Treasure! You examine your new discovery.	新宝物！你仔细检查你的新发现。	var_set_string(res, "New Treasure! You examine your new discovery.");	
SRC_00206	high	name_desc	src/arky.c	496	33	New Treasure! You examine your new discovery and learn its deepest truths.	新宝物！你仔细检查你的新发现，并了解了它的最深层秘密。	var_set_string(res, "New Treasure! You examine your new discovery and learn its deepest truths.");	
SRC_00207	high	name_desc	src/arky.c	499	29	Identifies an object. At L25, fully identifies an object.	鉴定一件物品。在25级时，完全鉴定一件物品。	var_set_string(res, "Identifies an object. At L25, fully identifies an object.");	
SRC_00208	high	name_desc	src/arky.c	522	29	Magic Blueprint	魔法蓝图	var_set_string(res, "Magic Blueprint");	
SRC_00209	high	name_desc	src/arky.c	526	33	A map to treasure! Maps the surrounding area.	寻宝地图！探测周围区域。	var_set_string(res, "A map to treasure! Maps the surrounding area.");	
SRC_00210	high	name_desc	src/arky.c	528	33	A map to treasure! Maps the surrounding area and detects traps and doors.	寻宝地图！探测周围区域，并探测陷阱和门。	var_set_string(res, "A map to treasure! Maps the surrounding area and detects traps and doors.");	
SRC_00211	high	name_desc	src/arky.c	530	33	A map to treasure! Maps the surrounding area and detects traps, doors and objects.	寻宝地图！探测周围区域，并探测陷阱、门和物品。	var_set_string(res, "A map to treasure! Maps the surrounding area and detects traps, doors and objects.");	
SRC_00212	high	name_desc	src/arky.c	532	33	A map to treasure! Maps the entire level and detects traps, doors and objects.	寻宝地图！探测整个楼层，并探测陷阱、门和物品。	var_set_string(res, "A map to treasure! Maps the entire level and detects traps, doors and objects.");	
SRC_00213	high	name_desc	src/arky.c	534	33	A map to treasure! Maps and lights the entire level and detects traps, doors and objects.	寻宝地图！探测并照亮整个楼层，并探测陷阱、门和物品。	var_set_string(res, "A map to treasure! Maps and lights the entire level and detects traps, doors and objects.");	
SRC_00214	high	name_desc	src/arky.c	537	29	Maps nearby area or the entire level (L35). Detects treasure, traps (L20), doors (L20) and objects (25).	探测附近区域或整个楼层（L35）。探测宝藏、陷阱（L20）、门（L20）和物品（L25）。	var_set_string(res, "Maps nearby area or the entire level (L35). Detects treasure, traps (L20), doors (L20) and objects (25).");	
SRC_00215	high	name_desc	src/arky.c	574	29	Pharaoh's Curse	法老的诅咒	var_set_string(res, "Pharaoh's Curse");	
SRC_00216	high	name_desc	src/arky.c	577	29	Curses all nearby monsters, doing great damage and various effects.	诅咒所有附近的怪物，造成巨大伤害并附加各种效果。	var_set_string(res, "Curses all nearby monsters, doing great damage and various effects.");	
SRC_00217	high	message	src/arky.c	598	31	You have disturbed the rest of an ancient pharaoh!	你打扰了一位古老法老的安息！	msg_print("You have disturbed the rest of an ancient pharaoh!");	
SRC_00219	high	name_desc	src/arky.c	616	29	Remove Curse	移除诅咒	var_set_string(res, "Remove Curse");	
SRC_00220	high	name_desc	src/arky.c	620	33	Cursed Treasure! Removes any weak curses from your equipment.	被诅咒的宝物！移除你装备上任何微弱的诅咒。	var_set_string(res, "Cursed Treasure! Removes any weak curses from your equipment.");	
SRC_00221	high	name_desc	src/arky.c	622	33	Cursed Treasure! Removes any curses from your equipment.	被诅咒的宝物！移除你装备上的任何诅咒。	var_set_string(res, "Cursed Treasure! Removes any curses from your equipment.");	
SRC_00222	high	name_desc	src/arky.c	625	29	Removes weak curses. At L40, also removes heavy curses.	移除微弱的诅咒。在40级时，也能移除沉重的诅咒。	var_set_string(res, "Removes weak curses. At L40, also removes heavy curses.");	
SRC_00223	high	message	src/arky.c	630	43	You feel the curse has lifted.	你感觉诅咒已被解除。	if (remove_curse()) msg_print("You feel the curse has lifted.");	
SRC_00224	high	message	src/arky.c	631	28	Hmmm ... nothing happens.	嗯……什么也没发生。	else msg_print("Hmmm ... nothing happens.");	
SRC_00225	high	message	src/arky.c	635	47	You feel the curse has lifted.	你感觉诅咒已被解除。	if (remove_all_curse()) msg_print("You feel the curse has lifted.");	
SRC_00226	high	message	src/arky.c	636	28	Hmmm ... nothing happens.	嗯……什么也没发生。	else msg_print("Hmmm ... nothing happens.");	
SRC_00227	high	name_desc	src/arky.c	651	29	Remove Obstacles	移除障碍	var_set_string(res, "Remove Obstacles");	
SRC_00228	high	name_desc	src/arky.c	654	29	Clears a path to treasure! Traps, doors and trees will be removed.	清理出一条通往宝藏的道路！陷阱、门和树木将被移除。	var_set_string(res, "Clears a path to treasure! Traps, doors and trees will be removed.");	
SRC_00229	high	message	src/arky.c	724	19	You feel close to a great discovery!	你感觉离一个伟大的发现不远了！	msg_print("You feel close to a great discovery!");	
SRC_00230	high	message	src/arky.c	730	19	You feel you are leaving something special behind...	你感觉把什么特别的东西抛在了脑后……	msg_print("You feel you are leaving something special behind...");	
SRC_00231	medium	other	src/arky.c	763	25	spell	法术	me.magic_desc = "spell";	
SRC_00232	high	message	src/arky.c	796	38	You feel that the %s is %s...	你感觉%s是%s……	cmsg_format(TERM_L_BLUE, "You feel that the %s is %s...", name, game_inscriptions[FEEL_SPECIAL]);	
SRC_00233	high	name_desc	src/arky.c	814	19	Archaeologist	考古学家	me.name = "Archaeologist";	
SRC_00234	high	name_desc	src/arky.c	815	19	The Archaeologist is an erudite treasure hunter, seeking out the most valuable prizes that the dungeon has to offer. At home in subterranean caverns and vaults, he is rarely lost or snared in traps. His powers of perception and detection are very great, as is his skill with arcane devices. At high levels he can use the dark magic of the entombed Pharaohs. The powers of the Archaeologist are enhanced by Wisdom.	考古学家是博学的寻宝者，寻找着地下城所能提供的最有价值的战利品。他们习惯于在地下洞穴和宝库中探索，很少迷路或陷入陷阱。他们的察觉和探测能力非常强，在使用奥秘装置方面的技巧也很高超。在高等级时，他们可以使用被埋葬的法老们的黑魔法。感知（Wisdom）可以增强考古学家的能力。	me.desc = "The Archaeologist is an erudite treasure hunter, seeking out the most valuable "	
SRC_00266	medium	possible_name	src/artifact.c	2020	6	Weapons	武器	{"Weapons", object_is_melee_weapon, 80},	
SRC_00267	medium	possible_name	src/artifact.c	2021	6	Shields	盾牌	{"Shields", object_is_shield, 52},	
SRC_00268	medium	possible_name	src/artifact.c	2022	6	Bows	弓	{"Bows", object_is_bow, 60},	
SRC_00269	medium	possible_name	src/artifact.c	2023	6	Rings	戒指	{"Rings", object_is_ring, 55},	
SRC_00270	medium	possible_name	src/artifact.c	2024	6	Amulets	项链	{"Amulets", object_is_amulet, 40},	
SRC_00271	medium	possible_name	src/artifact.c	2025	6	Lights	光源	{"Lights", object_is_lite, 36},	
SRC_00272	medium	possible_name	src/artifact.c	2026	6	Body Armor	身体护甲	{"Body Armor", object_is_body_armour, 80},	
SRC_00273	medium	possible_name	src/artifact.c	2027	6	Cloaks	披风	{"Cloaks", object_is_cloak, 43},	
SRC_00274	medium	possible_name	src/artifact.c	2028	6	Helmets	头盔	{"Helmets", object_is_helmet, 50},	
SRC_00275	medium	possible_name	src/artifact.c	2029	6	Gloves	手套	{"Gloves", object_is_gloves, 45},	
SRC_00276	medium	possible_name	src/artifact.c	2030	6	Boots	鞋子	{"Boots", object_is_boots, 50},	
SRC_00277	medium	possible_name	src/artifact.c	3095	37	Temp	临时	o_ptr->art_name = quark_add("Temp");	
SRC_00278	high	message	src/artifact.c	3103	32	Score: %d	分数: %d	if (cheat_peek) msg_format("Score: %d", total_flags);	
